Complexity,Loss,Equation
1,7.176517e9,"76057.4"
3,3.7232968e9,"x0 / x1"
5,1.8569667e9,"(37.110928 / x1) / x2"
7,7.027605e8,"(16.888487 / x1) / (x2 * x2)"
9,3.4823478e8,"0.2774763 / (x2 / ((x0 / x1) / x2))"
11,3.4823475e8,"(((x0 / 368.16364) / x2) * (102.158615 / x2)) / x1"
