Complexity,Loss,Equation
1,7.176517e9,"76064.766"
3,3.7232968e9,"x0 / x1"
5,1.8569663e9,"(37.113537 / x1) / x2"
7,7.027604e8,"(16.888914 / x1) / (x2 * x2)"
9,3.4823478e8,"(((0.2774763 / x2) / x2) / x1) * x0"
11,3.4823475e8,"(x0 / (x1 / 0.83312273)) / (x2 * (x2 * 3.0024843))"
