Trastes C 1,Inicio,Final,Longitud,Frecuencia
0,0,0,65,330.331191
1,0,3.6,63.2,350.531976
2,3.6,7,59.7,373.1
3,7,10.3,56.35,392.842768
4,10.3,13.3,53.2,415.391748
5,13.3,16.2,50.25,440.089661
6,16.2,19,47.4,466.049542
7,19,21.6,44.7,497.1209
8,21.6,24,42.2,526.7857
9,24,26.3,39.85,561.4705
10,26.3,28.5,37.6,594.9671
11,28.5,30.5,35.5,628.0162
12,30.5,32.4,33.55,665.0445
13,32.4,35.1,31.25,703.7055
