Trastes C 2,Inicio,Final,Longitud,Frecuencia
0,0,0,65,248.704663
1,0,3.6,63.2,263.461037
2,3.6,7,59.7,279.121796
3,7,10.3,56.35,296.088857
4,10.3,13.3,53.2,313.635975
5,13.3,16.2,50.25,331.441854
6,16.2,19,47.4,352.001126
7,19,21.6,44.7,376.1975
8,21.6,24,42.2,398.7805
9,24,26.3,39.85,423.2101
10,26.3,28.5,37.6,450.6894
11,28.5,30.5,35.5,475.1133
12,30.5,32.4,33.55,503.6086
13,32.4,35.1,31.25,531.9648
