Trastes C 6,Inicio,Final,Longitud,Frecuencia
0,0,0,65,165.05497
1,0,3.6,63.2,174.816722
2,3.6,7,59.7,186.019175
3,7,10.3,56.35,196.764485
4,10.3,13.3,53.2,207.94
5,13.3,16.2,50.25,222.12
6,16.2,19,47.4,235.01
7,19,21.6,44.7,249.6076
8,21.6,24,42.2,265.0518
9,24,26.3,39.85,279.7476
10,26.3,28.5,37.6,296.6456
11,28.5,30.5,35.5,313.9456
12,30.5,32.4,33.55,332.4547
13,32.4,35.1,31.25,352.0213
