Trastes C 4,Inicio,Final,Longitud,Frecuencia
0,0,0,65,146.440913
1,0,3.6,63.2,155.564184
2,3.6,7,59.7,165.191564
3,7,10.3,56.35,175.226932
4,10.3,13.3,53.2,185.442903
5,13.3,16.2,50.25,195.889812
6,16.2,19,47.4,200
7,19,21.6,44.7,222.2626
8,21.6,24,42.2,235.4793
9,24,26.3,39.85,249.6014
10,26.3,28.5,37.6,265.1715
11,28.5,30.5,35.5,279.4581
12,30.5,32.4,33.55,295.6215
13,32.4,35.1,31.25,313.0855
