Trastes C 5,Inicio,Final,Longitud,Frecuencia
0,0,0,65,109.60068
1,0,3.6,63.2,117.005184
2,3.6,7,59.7,124.112624
3,7,10.3,56.35,131.542888
4,10.3,13.3,53.2,139.434964
5,13.3,16.2,50.25,147.378917
6,16.2,19,47.4,156.230733
7,19,21.6,44.7,165.3066
8,21.6,24,42.2,175.5349
9,24,26.3,39.85,185.4258
10,26.3,28.5,37.6,197.1623
11,28.5,30.5,35.5,207.2974
12,30.5,32.4,33.55,221.66
13,32.4,35.1,31.25,234.8325
