Trastes C 3,Inicio,Final,Longitud,Frecuencia
0,0,0,65,196.41527
1,0,3.6,63.2,208.410577
2,3.6,7,59.7,222.482879
3,7,10.3,56.35,235.45611
4,10.3,13.3,53.2,249.214973
5,13.3,16.2,50.25,263.12009
6,16.2,19,47.4,280.237785
7,19,21.6,44.7,300.01
8,21.6,24,42.2,317.6314
9,24,26.3,39.85,337.6609
10,26.3,28.5,37.6,358.8326
11,28.5,30.5,35.5,377.0979
12,30.5,32.4,33.55,400.753
13,32.4,35.1,31.25,423.1849
