Complexity,Loss,Equation
1,8.486076e9,"94234.42"
3,4.942809e9,"x0 / x1"
5,2.2719706e9,"(39.35565 / x1) / x2"
7,9.6816595e8,"((16.979424 / x2) / x1) / x2"
9,4.8788384e8,"x0 / ((x1 / 0.27806497) * (x2 * x2))"
