         t        T1        T2        T3        T4        T5        T6        T7        T8        T9       T10  T_frontera
    2.5500    0.0000   17.5548   34.2599   49.3881   62.4286   73.1288   81.4842   87.6822   92.0235   94.8378     96.9365
    2.6000    0.0000   17.3873   33.9487   48.9756   61.9654   72.6636   81.0550   87.3115   91.7173   94.5878     96.7366
    2.6500    0.0000   17.2244   33.6459   48.5731   61.5118   72.2060   80.6302   86.9420   91.4095   94.3343     96.5314
    2.7000    0.0000   17.0660   33.3509   48.1800   61.0674   71.7556   80.2099   86.5738   91.1003   94.0772     96.3210
    2.7500    0.0000   16.9118   33.0634   47.7962   60.6320   71.3123   79.7940   86.2070   90.7897   93.8167     96.1057
    2.8000    0.0000   16.7618   32.7832   47.4211   60.2051   70.8760   79.3824   85.8417   90.4780   93.5531     95.8855
    2.8500    0.0000   16.6156   32.5099   47.0544   59.7866   70.4464   78.9751   85.4779   90.1653   93.2865     95.6606
    2.9000    0.0000   16.4732   32.2432   46.6959   59.3761   70.0234   78.5720   85.1156   89.8516   93.0169     95.4312
    2.9500    0.0000   16.3343   31.9828   46.3452   58.9733   69.6068   78.1731   84.7549   89.5371   92.7447     95.1975
    3.0000    0.0000   16.1988   31.7286   46.0021   58.5781   69.1965   77.7782   84.3958   89.2218   92.4698     94.9596
    3.0500    0.0000   16.0666   31.4802   45.6661   58.1901   68.7921   77.3874   84.0383   88.9059   92.1925     94.7177
    3.1000    0.0000   15.9375   31.2374   45.3372   57.8092   68.3937   77.0005   83.6825   88.5894   91.9128     94.4720
    3.1500    0.0000   15.8115   31.0000   45.0149   57.4350   68.0010   76.6174   83.3283   88.2725   91.6309     94.2225
    3.2000    0.0000   15.6883   30.7678   44.6991   57.0674   67.6138   76.2382   82.9758   87.9552   91.3470     93.9696
    3.2500    0.0000   15.5679   30.5406   44.3896   56.7062   67.2321   75.8627   82.6250   87.6375   91.0611     93.7132
    3.3000    0.0000   15.4502   30.3182   44.0861   56.3510   66.8556   75.4908   82.2759   87.3196   90.7733     93.4537
    3.3500    0.0000   15.3350   30.1005   43.7883   56.0019   66.4843   75.1226   81.9285   87.0015   90.4838     93.1910
    3.4000    0.0000   15.2223   29.8871   43.4962   55.6585   66.1179   74.7578   81.5827   86.6833   90.1926     92.9254
    3.4500    0.0000   15.1120   29.6781   43.2095   55.3207   65.7564   74.3965   81.2387   86.3650   89.8999     92.6570
    3.5000    0.0000   15.0039   29.4732   42.9280   54.9882   65.3996   74.0386   80.8964   86.0468   89.6058     92.3859
    3.5500    0.0000   14.8981   29.2723   42.6516   54.6610   65.0474   73.6840   80.5558   85.7285   89.3104     92.1122
    3.6000    0.0000   14.7943   29.0752   42.3800   54.3389   64.6996   73.3326   80.2168   85.4104   89.0137     91.8361
    3.6500    0.0000   14.6926   28.8818   42.1131   54.0217   64.3562   72.9844   79.8795   85.0924   88.7158     91.5578
    3.7000    0.0000   14.5929   28.6920   41.8508   53.7092   64.0171   72.6394   79.5439   84.7746   88.4169     91.2773
    3.7500    0.0000   14.4951   28.5056   41.5929   53.4014   63.6820   72.2973   79.2100   84.4571   88.1171     90.9947
    3.8000    0.0000   14.3991   28.3226   41.3392   53.0980   63.3509   71.9583   78.8777   84.1398   87.8163     90.7102
    3.8500    0.0000   14.3048   28.1428   41.0897   52.7990   63.0237   71.6221   78.5470   83.8228   87.5147     90.4239
    3.9000    0.0000   14.2123   27.9661   40.8441   52.5041   62.7003   71.2888   78.2180   83.5062   87.2123     90.1358
    3.9500    0.0000   14.1214   27.7924   40.6024   52.2134   62.3806   70.9584   77.8906   83.1900   86.9093     89.8461
    4.0000    0.0000   14.0321   27.6217   40.3644   51.9266   62.0645   70.6306   77.5649   82.8742   86.6057     89.5549
    4.0500    0.0000   13.9444   27.4537   40.1301   51.6436   61.7518   70.3056   77.2407   82.5589   86.3015     89.2623
    4.1000    0.0000   13.8581   27.2884   39.8992   51.3644   61.4426   69.9832   76.9181   82.2440   85.9969     88.9684
    4.1500    0.0000   13.7732   27.1258   39.6718   51.0888   61.1367   69.6633   76.5971   81.9297   85.6919     88.6732
    4.2000    0.0000   13.6898   26.9657   39.4476   50.8167   60.8340   69.3460   76.2776   81.6159   85.3865     88.3769
    4.2500    0.0000   13.6077   26.8081   39.2266   50.5480   60.5345   69.0312   75.9597   81.3026   85.0808     88.0795
    4.3000    0.0000   13.5269   26.6529   39.0087   50.2827   60.2381   68.7187   75.6434   80.9900   84.7748     87.7811
    4.3500    0.0000   13.4473   26.5000   38.7938   50.0206   59.9446   68.4087   75.3285   80.6779   84.4687     87.4819
    4.4000    0.0000   13.3690   26.3493   38.5819   49.7616   59.6541   68.1010   75.0152   80.3665   84.1625     87.1818
    4.4500    0.0000   13.2918   26.2008   38.3727   49.5056   59.3664   67.7956   74.7034   80.0558   83.8562     86.8810
    4.5000    0.0000   13.2158   26.0544   38.1663   49.2526   59.0814   67.4924   74.3930   79.7457   83.5498     86.5795
    4.5500    0.0000   13.1409   25.9101   37.9625   49.0025   58.7992   67.1914   74.0842   79.4364   83.2435     86.2773
    4.6000    0.0000   13.0671   25.7677   37.7613   48.7552   58.5196   66.8926   73.7768   79.1277   82.9372     85.9747
    4.6500    0.0000   12.9943   25.6273   37.5626   48.5107   58.2426   66.5959   73.4709   78.8198   82.6310     85.6715
    4.7000    0.0000   12.9225   25.4886   37.3663   48.2688   57.9681   66.3013   73.1664   78.5126   82.3249     85.3680
    4.7500    0.0000   12.8517   25.3519   37.1725   48.0294   57.6961   66.0087   72.8633   78.2062   82.0190     85.0641
    4.8000    0.0000   12.7819   25.2168   36.9809   47.7926   57.4265   65.7181   72.5617   77.9006   81.7133     84.7599
    4.8500    0.0000   12.7129   25.0835   36.7915   47.5582   57.1592   65.4294   72.2614   77.5957   81.4079     84.4554
    4.9000    0.0000   12.6449   24.9518   36.6043   47.3262   56.8942   65.1427   71.9626   77.2917   81.1027     84.1507
    4.9500    0.0000   12.5777   24.8217   36.4192   47.0966   56.6314   64.8579   71.6651   76.9885   80.7979     83.8459
    5.0000    0.0000   12.5114   24.6932   36.2362   46.8692   56.3708   64.5750   71.3691   76.6861   80.4934     83.5411
    5.0500    0.0000   12.4459   24.5662   36.0552   46.6440   56.1124   64.2939   71.0743   76.3846   80.1893     83.2361
    5.1000    0.0000   12.3812   24.4406   35.8761   46.4210   55.8560   64.0146   70.7810   76.0839   79.8856     82.9312
