Frecuencia,Tension,Densidad,Longitud
"1","0","330.331191","71.75","0.0003990","0.65"
"1","1","350.531976","71.75","0.0003990","0.632"
"1","2","373.100000","71.75","0.0003990","0.597"
"1","3","392.842768","71.75","0.0003990","0.5635"
"1","4","415.391748","71.75","0.0003990","0.532"
"1","5","440.089661","71.75","0.0003990","0.5025"
"1","6","466.049542","71.75","0.0003990","0.474"
"1","7","497.1209","71.75","0.0003990","0.447"
"1","8","526.7857","71.75","0.0003990","0.422"
"1","9","561.4705","71.75","0.0003990","0.3985"
"1","10","594.9671","71.75","0.0003990","0.376"
"1","11","628.0162","71.75","0.0003990","0.355"
"1","12","665.0445","71.75","0.0003990","0.3355"
"1","13","703.7055","71.75","0.0003990","0.3125"
"2","0","248.704663","49.55","0.0004770","0.65"
"2","1","263.461037","49.55","0.0004770","0.632"
"2","2","279.121796","49.55","0.0004770","0.597"
"2","3","296.088857","49.55","0.0004770","0.5635"
"2","4","313.635975","49.55","0.0004770","0.532"
"2","5","331.441854","49.55","0.0004770","0.5025"
"2","6","352.001126","49.55","0.0004770","0.474"
"2","7","376.1975","49.55","0.0004770","0.447"
"2","8","398.7805","49.55","0.0004770","0.422"
"2","9","423.2101","49.55","0.0004770","0.3985"
"2","10","450.6894","49.55","0.0004770","0.376"
"2","11","475.1133","49.55","0.0004770","0.355"
"2","12","503.6086","49.55","0.0004770","0.3355"
"2","13","531.9648","49.55","0.0004770","0.3125"
"3","0","196.415270","51.28","0.0010300","0.65"
"3","1","208.410577","51.28","0.0010300","0.632"
"3","2","222.482879","51.28","0.0010300","0.597"
"3","3","235.456110","51.28","0.0010300","0.5635"
"3","4","249.214973","51.28","0.0010300","0.532"
"3","5","263.120090","51.28","0.0010300","0.5025"
"3","6","280.237785","51.28","0.0010300","0.474"
"3","7","300.01","51.28","0.0010300","0.447"
"3","8","317.6314","51.28","0.0010300","0.422"
"3","9","337.6609","51.28","0.0010300","0.3985"
"3","10","358.8326","51.28","0.0010300","0.376"
"3","11","377.0979","51.28","0.0010300","0.355"
"3","12","400.753","51.28","0.0010300","0.3355"
"3","13","423.1849","51.28","0.0010300","0.3125"
"4","0","146.440913","65.65","0.0016200","0.65"
"4","1","155.564184","65.65","0.0016200","0.632"
"4","2","165.191564","65.65","0.0016200","0.597"
"4","3","175.226932","65.65","0.0016200","0.5635"
"4","4","185.442903","65.65","0.0016200","0.532"
"4","5","195.889812","65.65","0.0016200","0.5025"
"4","6","200.000000","65.65","0.0016200","0.474"
"4","7","222.2626","65.65","0.0016200","0.447"
"4","8","235.4793","65.65","0.0016200","0.422"
"4","9","249.6014","65.65","0.0016200","0.3985"
"4","10","265.1715","65.65","0.0016200","0.376"
"4","11","279.4581","65.65","0.0016200","0.355"
"4","12","295.6215","65.65","0.0016200","0.3355"
