# x real_u imag_u abs_u
-2.00000000 -0.49152502 -0.76499998 0.90929743
-1.92156863 -0.50770558 -0.79009681 0.93915809
-1.84313725 -0.52076186 -0.81033425 0.96324167
-1.76470588 -0.53061289 -0.82558777 0.98139961
-1.68627451 -0.53719812 -0.83576336 0.99352012
-1.60784314 -0.54047627 -0.84079847 0.99952822
-1.52941176 -0.54042646 -0.84066234 0.99938677
-1.45098039 -0.53704937 -0.83535609 0.99309709
-1.37254902 -0.53036620 -0.82491215 0.98069790
-1.29411765 -0.52041793 -0.80939467 0.96226532
-1.21568627 -0.50726576 -0.78889925 0.93791289
-1.13725490 -0.49099057 -0.76355229 0.90779063
-1.05882353 -0.47169204 -0.73350995 0.87208384
-0.98039216 -0.44948886 -0.69895688 0.83101201
-0.90196078 -0.42451839 -0.66010593 0.78482846
-0.82352941 -0.39693518 -0.61719654 0.73381817
-0.74509804 -0.36690965 -0.57049309 0.67829570
-0.66666667 -0.33462677 -0.52028280 0.61860268
-0.58823529 -0.30028474 -0.46687427 0.55510586
-0.50980392 -0.26409428 -0.41059581 0.48819535
-0.43137255 -0.22627775 -0.35179327 0.41828235
-0.35294118 -0.18706788 -0.29082809 0.34579671
-0.27450980 -0.14670599 -0.22807513 0.27118428
-0.19607843 -0.10544041 -0.16392020 0.19490385
-0.11764706 -0.06352530 -0.09875714 0.11742417
-0.03921569 -0.02121873 -0.03298663 0.03922183
0.03921569 0.02121873 0.03298663 0.03922183
0.11764706 0.06352530 0.09875714 0.11742417
0.19607843 0.10544041 0.16392020 0.19490385
0.27450980 0.14670599 0.22807513 0.27118428
0.35294118 0.18706788 0.29082809 0.34579671
0.43137255 0.22627775 0.35179327 0.41828235
0.50980392 0.26409428 0.41059581 0.48819535
0.58823529 0.30028474 0.46687427 0.55510586
0.66666667 0.33462677 0.52028280 0.61860268
0.74509804 0.36690965 0.57049309 0.67829570
0.82352941 0.39693518 0.61719654 0.73381817
0.90196078 0.42451839 0.66010593 0.78482846
0.98039216 0.44948886 0.69895688 0.83101201
1.05882353 0.47169204 0.73350995 0.87208384
1.13725490 0.49099057 0.76355229 0.90779063
1.21568627 0.50726576 0.78889925 0.93791289
1.29411765 0.52041793 0.80939467 0.96226532
1.37254902 0.53036620 0.82491215 0.98069790
1.45098039 0.53704937 0.83535609 0.99309709
1.52941176 0.54042646 0.84066234 0.99938677
1.60784314 0.54047627 0.84079847 0.99952822
1.68627451 0.53719812 0.83576336 0.99352012
1.76470588 0.53061289 0.82558777 0.98139961
1.84313725 0.52076186 0.81033425 0.96324167
1.92156863 0.50770558 0.79009681 0.93915809
2.00000000 0.49152502 0.76499998 0.90929743
