# t            x            u_real       u_imag       u_abs
     0.007000     2.827433    16.901880    -0.059007    16.901983
     0.007000     2.984513    19.771065    -0.069889    19.771188
     0.007000     3.141593    23.140126    -0.161984    23.140693

     0.008400     0.000000     0.999965    -0.008400     1.000000
     0.008400     0.157080     1.169726    -0.004964     1.169737
     0.008400     0.314159     1.369092    -0.005742     1.369104
     0.008400     0.471239     1.601964    -0.006742     1.601979
     0.008400     0.628319     1.874439    -0.007889     1.874456
     0.008400     0.785398     2.193261    -0.009231     2.193280
     0.008400     0.942478     2.566310    -0.010801     2.566332
     0.008400     1.099557     3.002810    -0.012638     3.002837
     0.008400     1.256637     3.513555    -0.014787     3.513586
     0.008400     1.413717     4.111171    -0.017303     4.111207
     0.008400     1.570796     4.810435    -0.020246     4.810477
     0.008400     1.727876     5.628636    -0.023689     5.628686
     0.008400     1.884956     6.586004    -0.027718     6.586062
     0.008400     2.042035     7.706209    -0.032433     7.706277
     0.008400     2.199115     9.016949    -0.037949     9.017029
     0.008400     2.356194    10.550631    -0.044404    10.550724
     0.008400     2.513274    12.345175    -0.051957    12.345284
     0.008400     2.670354    14.444971    -0.060789    14.445099
     0.008400     2.827433    16.901793    -0.070670    16.901941
     0.008400     2.984513    19.768540    -0.084138    19.768719
     0.008400     3.141593    23.139876    -0.194380    23.140693

     0.009800     0.000000     0.999952    -0.009800     1.000000
     0.009800     0.157080     1.169597    -0.005807     1.169612
     0.009800     0.314159     1.369085    -0.006691     1.369101
     0.009800     0.471239     1.601960    -0.007865     1.601979
     0.009800     0.628319     1.874434    -0.009204     1.874456
     0.009800     0.785398     2.193254    -0.010769     2.193280
     0.009800     0.942478     2.566301    -0.012601     2.566332
     0.009800     1.099557     3.002801    -0.014744     3.002837
     0.009800     1.256637     3.513543    -0.017252     3.513586
     0.009800     1.413717     4.111158    -0.020186     4.111207
     0.009800     1.570796     4.810419    -0.023620     4.810477
     0.009800     1.727876     5.628618    -0.027637     5.628686
     0.009800     1.884956     6.585983    -0.032338     6.586062
     0.009800     2.042035     7.706184    -0.037838     7.706277
     0.009800     2.199115     9.016920    -0.044274     9.017029
     0.009800     2.356194    10.550597    -0.051805    10.550724
     0.009800     2.513274    12.345136    -0.060618    12.345284
     0.009800     2.670354    14.444941    -0.070917    14.445115
     0.009800     2.827433    16.901672    -0.082261    16.901872
     0.009800     2.984513    19.765579    -0.098531    19.765825
     0.009800     3.141593    23.139581    -0.226775    23.140693

     0.011200     0.000000     0.999937    -0.011200     1.000000
     0.011200     0.157080     1.169450    -0.006657     1.169469
     0.011200     0.314159     1.369075    -0.007636     1.369097
     0.011200     0.471239     1.601955    -0.008989     1.601980
     0.011200     0.628319     1.874427    -0.010519     1.874456
     0.011200     0.785398     2.193246    -0.012308     2.193280
     0.011200     0.942478     2.566292    -0.014401     2.566332
     0.011200     1.099557     3.002789    -0.016850     3.002837
     0.011200     1.256637     3.513530    -0.019716     3.513586
     0.011200     1.413717     4.111142    -0.023070     4.111207
     0.011200     1.570796     4.810402    -0.026994     4.810477
     0.011200     1.727876     5.628597    -0.031585     5.628686
     0.011200     1.884956     6.585958    -0.036958     6.586062
     0.011200     2.042035     7.706156    -0.043244     7.706277
     0.011200     2.199115     9.016887    -0.050599     9.017029
     0.011200     2.356194    10.550558    -0.059205    10.550724
     0.011200     2.513274    12.345091    -0.069278    12.345285
     0.011200     2.670354    14.444913    -0.081041    14.445140
     0.011200     2.827433    16.901509    -0.093768    16.901769
     0.011200     2.984513    19.762193    -0.113091    19.762516
     0.011200     3.141593    23.139241    -0.259170    23.140693

     0.012600     0.000000     0.999921    -0.012600     1.000000
     0.012600     0.157080     1.169284    -0.007516     1.169308
     0.012600     0.314159     1.369063    -0.008578     1.369090
     0.012600     0.471239     1.601950    -0.010112     1.601982
     0.012600     0.628319     1.874419    -0.011834     1.874456
     0.012600     0.785398     2.193236    -0.013846     2.193280
     0.012600     0.942478     2.566281    -0.016201     2.566332
     0.012600     1.099557     3.002777    -0.018957     3.002837
     0.012600     1.256637     3.513516    -0.022181     3.513586
     0.012600     1.413717     4.111125    -0.025954     4.111207
     0.012600     1.570796     4.810382    -0.030368     4.810477
     0.012600     1.727876     5.628573    -0.035533     5.628686
     0.012600     1.884956     6.585931    -0.041577     6.586062
     0.012600     2.042035     7.706124    -0.048649     7.706277
     0.012600     2.199115     9.016849    -0.056924     9.017029
     0.012600     2.356194    10.550514    -0.066606    10.550724
     0.012600     2.513274    12.345040    -0.077940    12.345286
     0.012600     2.670354    14.444887    -0.091159    14.445175
     0.012600     2.827433    16.901293    -0.105184    16.901620
     0.012600     2.984513    19.758394    -0.127840    19.758807
     0.012600     3.141593    23.138856    -0.291565    23.140693

     0.014000     0.000000     0.999902    -0.014000     1.000000
     0.014000     0.157080     1.169101    -0.008383     1.169131
     0.014000     0.314159     1.369048    -0.009515     1.369081
     0.014000     0.471239     1.601945    -0.011235     1.601984
     0.014000     0.628319     1.874410    -0.013148     1.874456
     0.014000     0.785398     2.193226    -0.015384     2.193280
     0.014000     0.942478     2.566269    -0.018001     2.566332
     0.014000     1.099557     3.002763    -0.021063     3.002837
     0.014000     1.256637     3.513499    -0.024646     3.513586
     0.014000     1.413717     4.111106    -0.028837     4.111207
     0.014000     1.570796     4.810359    -0.033742     4.810477
     0.014000     1.727876     5.628547    -0.039482     5.628686
     0.014000     1.884956     6.585900    -0.046197     6.586062
     0.014000     2.042035     7.706088    -0.054055     7.706277
     0.014000     2.199115     9.016807    -0.063249     9.017029
     0.014000     2.356194    10.550464    -0.074007    10.550724
     0.014000     2.513274    12.344984    -0.086602    12.345287
     0.014000     2.670354    14.444868    -0.101271    14.445223
     0.014000     2.827433    16.901013    -0.116500    16.901415
     0.014000     2.984513    19.754196    -0.142796    19.754712
     0.014000     3.141593    23.138425    -0.323959    23.140693

     0.015400     0.000000     0.999881    -0.015399     1.000000
     0.015400     0.157080     1.168902    -0.009261     1.168938
     0.015400     0.314159     1.369030    -0.010447     1.369070
     0.015400     0.471239     1.601939    -0.012357     1.601987
     0.015400     0.628319     1.874401    -0.014463     1.874456
     0.015400     0.785398     2.193215    -0.016923     2.193280
     0.015400     0.942478     2.566256    -0.019801     2.566332
     0.015400     1.099557     3.002747    -0.023169     3.002837
     0.015400     1.256637     3.513481    -0.027110     3.513586
     0.015400     1.413717     4.111085    -0.031721     4.111207
     0.015400     1.570796     4.810334    -0.037117     4.810477
     0.015400     1.727876     5.628518    -0.043430     5.628686
