# x real_u imag_u abs_u
-1.52847153 -0.54007159 -0.84055563 0.99910515
-1.52447552 -0.53997589 -0.84040667 0.99892809
-1.52047952 -0.53987156 -0.84024430 0.99873509
-1.51648352 -0.53975861 -0.84006850 0.99852614
-1.51248751 -0.53963705 -0.83987929 0.99830124
-1.50849151 -0.53950687 -0.83967667 0.99806041
-1.50449550 -0.53936807 -0.83946064 0.99780363
-1.50049950 -0.53922066 -0.83923121 0.99753093
-1.49650350 -0.53906464 -0.83898838 0.99724229
-1.49250749 -0.53890001 -0.83873215 0.99693773
-1.48851149 -0.53872678 -0.83846252 0.99661725
-1.48451548 -0.53854495 -0.83817951 0.99628086
-1.48051948 -0.53835451 -0.83788312 0.99592856
-1.47652348 -0.53815548 -0.83757334 0.99556036
-1.47252747 -0.53794786 -0.83725019 0.99517625
-1.46853147 -0.53773164 -0.83691367 0.99477626
-1.46453546 -0.53750684 -0.83656379 0.99436039
-1.46053946 -0.53727346 -0.83620055 0.99392863
-1.45654346 -0.53703149 -0.83582395 0.99348100
-1.45254745 -0.53678095 -0.83543401 0.99301751
-1.44855145 -0.53652184 -0.83503073 0.99253817
-1.44455544 -0.53625417 -0.83461412 0.99204297
-1.44055944 -0.53597793 -0.83418418 0.99153194
-1.43656344 -0.53569313 -0.83374091 0.99100507
-1.43256743 -0.53539978 -0.83328434 0.99046237
-1.42857143 -0.53509787 -0.83281446 0.98990386
-1.42457542 -0.53478743 -0.83233128 0.98932955
-1.42057942 -0.53446844 -0.83183481 0.98873943
-1.41658342 -0.53414092 -0.83132506 0.98813353
-1.41258741 -0.53380487 -0.83080203 0.98751185
-1.40859141 -0.53346030 -0.83026574 0.98687440
-1.40459540 -0.53310721 -0.82971618 0.98622119
-1.40059940 -0.53274560 -0.82915338 0.98555224
-1.39660340 -0.53237549 -0.82857734 0.98486754
-1.39260739 -0.53199688 -0.82798807 0.98416712
-1.38861139 -0.53160977 -0.82738558 0.98345099
-1.38461538 -0.53121417 -0.82676988 0.98271915
-1.38061938 -0.53081009 -0.82614097 0.98197162
-1.37662338 -0.53039754 -0.82549887 0.98120841
-1.37262737 -0.52997652 -0.82484359 0.98042953
-1.36863137 -0.52954703 -0.82417514 0.97963499
-1.36463536 -0.52910909 -0.82349353 0.97882481
-1.36063936 -0.52866269 -0.82279877 0.97799901
-1.35664336 -0.52820786 -0.82209087 0.97715758
-1.35264735 -0.52774459 -0.82136984 0.97630056
-1.34865135 -0.52727290 -0.82063570 0.97542794
-1.34465534 -0.52679278 -0.81988846 0.97453975
-1.34065934 -0.52630426 -0.81912812 0.97363599
-1.33666334 -0.52580733 -0.81835470 0.97271669
-1.33266733 -0.52530200 -0.81756821 0.97178186
-1.32867133 -0.52478828 -0.81676867 0.97083150
-1.32467532 -0.52426619 -0.81595609 0.96986565
-1.32067932 -0.52373572 -0.81513048 0.96888431
-1.31668332 -0.52319689 -0.81429185 0.96788750
-1.31268731 -0.52264971 -0.81344022 0.96687523
-1.30869131 -0.52209418 -0.81257560 0.96584753
-1.30469530 -0.52153032 -0.81169801 0.96480440
-1.30069930 -0.52095812 -0.81080745 0.96374586
-1.29670330 -0.52037761 -0.80990395 0.96267194
-1.29270729 -0.51978879 -0.80898751 0.96158264
-1.28871129 -0.51919166 -0.80805816 0.96047799
-1.28471528 -0.51858625 -0.80711590 0.95935800
-1.28071928 -0.51797256 -0.80616076 0.95822270
