# t            x            u_real       u_imag       u_abs
     0.000000     0.000000     1.000000     0.000000     1.000000
     0.000000     0.157080     1.170089     0.000000     1.170089
     0.000000     0.314159     1.369108     0.000000     1.369108
     0.000000     0.471239     1.601978     0.000000     1.601978
     0.000000     0.628319     1.874456     0.000000     1.874456
     0.000000     0.785398     2.193280     0.000000     2.193280
     0.000000     0.942478     2.566332     0.000000     2.566332
     0.000000     1.099557     3.002837     0.000000     3.002837
     0.000000     1.256637     3.513586     0.000000     3.513586
     0.000000     1.413717     4.111207     0.000000     4.111207
     0.000000     1.570796     4.810477     0.000000     4.810477
     0.000000     1.727876     5.628686     0.000000     5.628686
     0.000000     1.884956     6.586062     0.000000     6.586062
     0.000000     2.042035     7.706277     0.000000     7.706277
     0.000000     2.199115     9.017029     0.000000     9.017029
     0.000000     2.356194    10.550724     0.000000    10.550724
     0.000000     2.513274    12.345284     0.000000    12.345284
     0.000000     2.670354    14.445078     0.000000    14.445078
     0.000000     2.827433    16.902024     0.000000    16.902024
     0.000000     2.984513    19.776869     0.000000    19.776869
     0.000000     3.141593    23.140693     0.000000    23.140693

     0.001400     0.000000     0.999999     0.001400     1.000000
     0.001400     0.157080     1.170167    -0.001637     1.170168
     0.001400     0.314159     1.369107    -0.001923     1.369108
     0.001400     0.471239     1.601976    -0.002247     1.601978
     0.001400     0.628319     1.874454    -0.002630     1.874456
     0.001400     0.785398     2.193278    -0.003077     2.193280
     0.001400     0.942478     2.566330    -0.003600     2.566332
     0.001400     1.099557     3.002834    -0.004213     3.002837
     0.001400     1.256637     3.513582    -0.004929     3.513586
     0.001400     1.413717     4.111203    -0.005768     4.111207
     0.001400     1.570796     4.810473    -0.006749     4.810477
     0.001400     1.727876     5.628680    -0.007896     5.628686
     0.001400     1.884956     6.586055    -0.009239     6.586062
     0.001400     2.042035     7.706270    -0.010811     7.706277
     0.001400     2.199115     9.017020    -0.012650     9.017029
     0.001400     2.356194    10.550714    -0.014801    10.550724
     0.001400     2.513274    12.345272    -0.017319    12.345284
     0.001400     2.670354    14.445063    -0.020265    14.445077
     0.001400     2.827433    16.902013    -0.023763    16.902030
     0.001400     2.984513    19.778682    -0.027641    19.778702
     0.001400     3.141593    23.140670     0.032397    23.140693

     0.002800     0.000000     0.999996     0.002800     1.000000
     0.002800     0.157080     1.170400    -0.003256     1.170404
     0.002800     0.314159     1.369104    -0.003855     1.369110
     0.002800     0.471239     1.601971    -0.004495     1.601977
     0.002800     0.628319     1.874449    -0.005259     1.874456
     0.002800     0.785398     2.193271    -0.006154     2.193280
     0.002800     0.942478     2.566322    -0.007201     2.566332
     0.002800     1.099557     3.002825    -0.008425     3.002837
     0.002800     1.256637     3.513572    -0.009858     3.513586
     0.002800     1.413717     4.111191    -0.011535     4.111207
     0.002800     1.570796     4.810458    -0.013497     4.810477
     0.002800     1.727876     5.628663    -0.015793     5.628686
     0.002800     1.884956     6.586036    -0.018479     6.586062
     0.002800     2.042035     7.706247    -0.021622     7.706277
     0.002800     2.199115     9.016993    -0.025300     9.017029
     0.002800     2.356194    10.550683    -0.029603    10.550724
     0.002800     2.513274    12.345235    -0.034637    12.345284
     0.002800     2.670354    14.445010    -0.040532    14.445067
     0.002800     2.827433    16.902004    -0.047730    16.902072
     0.002800     2.984513    19.784093    -0.054869    19.784169
     0.002800     3.141593    23.140602     0.064794    23.140693

     0.004200     0.000000     0.999991     0.004200     1.000000
     0.004200     0.157080     1.170784    -0.004840     1.170794
     0.004200     0.314159     1.369104    -0.005804     1.369116
     0.004200     0.471239     1.601961    -0.006743     1.601976
     0.004200     0.628319     1.874439    -0.007889     1.874456
     0.004200     0.785398     2.193261    -0.009231     2.193280
     0.004200     0.942478     2.566310    -0.010801     2.566332
     0.004200     1.099557     3.002810    -0.012638     3.002837
     0.004200     1.256637     3.513555    -0.014787     3.513586
     0.004200     1.413717     4.111171    -0.017303     4.111207
     0.004200     1.570796     4.810435    -0.020246     4.810477
     0.004200     1.727876     5.628636    -0.023689     5.628686
     0.004200     1.884956     6.586004    -0.027718     6.586062
     0.004200     2.042035     7.706209    -0.032433     7.706277
     0.004200     2.199115     9.016949    -0.037949     9.017029
     0.004200     2.356194    10.550631    -0.044404    10.550724
     0.004200     2.513274    12.345174    -0.051955    12.345283
     0.004200     2.670354    14.444904    -0.060806    14.445032
     0.004200     2.827433    16.902066    -0.072097    16.902220
     0.004200     2.984513    19.793014    -0.081279    19.793181
     0.004200     3.141593    23.140489     0.097191    23.140693

     0.005600     0.000000     0.999984     0.005600     1.000000
     0.005600     0.157080     1.171313    -0.006372     1.171330
     0.005600     0.314159     1.369110    -0.007778     1.369132
     0.005600     0.471239     1.601947    -0.008991     1.601972
     0.005600     0.628319     1.874426    -0.010518     1.874456
     0.005600     0.785398     2.193246    -0.012308     2.193280
     0.005600     0.942478     2.566292    -0.014401     2.566332
     0.005600     1.099557     3.002789    -0.016850     3.002837
     0.005600     1.256637     3.513530    -0.019716     3.513586
     0.005600     1.413717     4.111142    -0.023070     4.111207
     0.005600     1.570796     4.810402    -0.026994     4.810477
     0.005600     1.727876     5.628597    -0.031585     5.628686
     0.005600     1.884956     6.585958    -0.036958     6.586062
     0.005600     2.042035     7.706156    -0.043244     7.706277
     0.005600     2.199115     9.016887    -0.050599     9.017029
     0.005600     2.356194    10.550558    -0.059205    10.550724
     0.005600     2.513274    12.345087    -0.069269    12.345281
     0.005600     2.670354    14.444718    -0.081102    14.444946
     0.005600     2.827433    16.902310    -0.097039    16.902588
     0.005600     2.984513    19.805303    -0.106488    19.805589
     0.005600     3.141593    23.140330     0.129587    23.140693

     0.007000     0.000000     0.999976     0.007000     1.000000
     0.007000     0.157080     1.171978    -0.007836     1.172004
     0.007000     0.314159     1.369129    -0.009783     1.369164
     0.007000     0.471239     1.601925    -0.011242     1.601965
     0.007000     0.628319     1.874410    -0.013147     1.874456
     0.007000     0.785398     2.193226    -0.015384     2.193280
     0.007000     0.942478     2.566269    -0.018001     2.566332
     0.007000     1.099557     3.002763    -0.021063     3.002837
     0.007000     1.256637     3.513499    -0.024646     3.513586
     0.007000     1.413717     4.111106    -0.028837     4.111207
     0.007000     1.570796     4.810359    -0.033742     4.810477
     0.007000     1.727876     5.628547    -0.039482     5.628686
     0.007000     1.884956     6.585900    -0.046197     6.586062
     0.007000     2.042035     7.706088    -0.054054     7.706277
     0.007000     2.199115     9.016807    -0.063249     9.017029
     0.007000     2.356194    10.550466    -0.074006    10.550725
     0.007000     2.513274    12.344971    -0.086576    12.345275
     0.007000     2.670354    14.444420    -0.101443    14.444776
     0.007000     2.827433    16.902886    -0.122709    16.903332
     0.007000     2.984513    19.820767    -0.130134    19.821194
     0.007000     3.141593    23.140126     0.161984    23.140693

     0.008400     0.000000     0.999965     0.008400     1.000000
     0.008400     0.157080     1.172770    -0.009219     1.172806
     0.008400     0.314159     1.369170    -0.011825     1.369221
     0.008400     0.471239     1.601895    -0.013496     1.601952
     0.008400     0.628319     1.874389    -0.015776     1.874455
     0.008400     0.785398     2.193202    -0.018461     2.193280
     0.008400     0.942478     2.566241    -0.021601     2.566332
     0.008400     1.099557     3.002730    -0.025275     3.002837
     0.008400     1.256637     3.513461    -0.029575     3.513586
     0.008400     1.413717     4.111062    -0.034605     4.111207
     0.008400     1.570796     4.810307    -0.040491     4.810477
     0.008400     1.727876     5.628486    -0.047378     5.628686
     0.008400     1.884956     6.585829    -0.055436     6.586062
     0.008400     2.042035     7.706004    -0.064865     7.706277
     0.008400     2.199115     9.016709    -0.075898     9.017029
     0.008400     2.356194    10.550353    -0.088806    10.550727
     0.008400     2.513274    12.344823    -0.103871    12.345260
     0.008400     2.670354    14.443973    -0.121865    14.444487
     0.008400     2.827433    16.903979    -0.149223    16.904638
     0.008400     2.984513    19.839164    -0.151894    19.839746
     0.008400     3.141593    23.139876     0.194380    23.140693

     0.009800     0.000000     0.999952     0.009800     1.000000
     0.009800     0.157080     1.173675    -0.010508     1.173722
     0.009800     0.314159     1.369240    -0.013906     1.369311
     0.009800     0.471239     1.601855    -0.015756     1.601933
     0.009800     0.628319     1.874363    -0.018404     1.874454
     0.009800     0.785398     2.193175    -0.021538     2.193280
     0.009800     0.942478     2.566209    -0.025201     2.566332
     0.009800     1.099557     3.002692    -0.029488     3.002837
     0.009800     1.256637     3.513416    -0.034503     3.513586
     0.009800     1.413717     4.111009    -0.040372     4.111207
     0.009800     1.570796     4.810245    -0.047239     4.810477
     0.009800     1.727876     5.628414    -0.055274     5.628686
     0.009800     1.884956     6.585744    -0.064675     6.586062
     0.009800     2.042035     7.705906    -0.075676     7.706277
     0.009800     2.199115     9.016594    -0.088548     9.017029
     0.009800     2.356194    10.550221    -0.103604    10.550730
     0.009800     2.513274    12.344634    -0.121147    12.345229
     0.009800     2.670354    14.443340    -0.142423    14.444042
     0.009800     2.827433    16.905798    -0.176661    16.906721
     0.009800     2.984513    19.860215    -0.171483    19.860956
     0.009800     3.141593    23.139581     0.226775    23.140693

     0.011200     0.000000     0.999937     0.011200     1.000000
     0.011200     0.157080     1.174681    -0.011693     1.174740
     0.011200     0.314159     1.369350    -0.016029     1.369444
     0.011200     0.471239     1.601804    -0.018025     1.601906
     0.011200     0.628319     1.874333    -0.021030     1.874451
     0.011200     0.785398     2.193142    -0.024614     2.193281
     0.011200     0.942478     2.566171    -0.028801     2.566332
     0.011200     1.099557     3.002648    -0.033700     3.002837
     0.011200     1.256637     3.513364    -0.039432     3.513586
     0.011200     1.413717     4.110948    -0.046139     4.111207
     0.011200     1.570796     4.810174    -0.053987     4.810477
     0.011200     1.727876     5.628331    -0.063170     5.628686
     0.011200     1.884956     6.585647    -0.073914     6.586062
     0.011200     2.042035     7.705792    -0.086486     7.706277
     0.011200     2.199115     9.016462    -0.101197     9.017029
     0.011200     2.356194    10.550071    -0.118399    10.550736
     0.011200     2.513274    12.344392    -0.138398    12.345168
     0.011200     2.670354    14.442487    -0.163182    14.443409
     0.011200     2.827433    16.908569    -0.205057    16.909813
     0.011200     2.984513    19.883607    -0.188662    19.884502
     0.011200     3.141593    23.139241     0.259170    23.140693

     0.012600     0.000000     0.999921     0.012600     1.000000
     0.012600     0.157080     1.175774    -0.012766     1.175843
     0.012600     0.314159     1.369511    -0.018193     1.369632
     0.012600     0.471239     1.601740    -0.020306     1.601869
     0.012600     0.628319     1.874297    -0.023655     1.874447
     0.012600     0.785398     2.193106    -0.027691     2.193281
     0.012600     0.942478     2.566128    -0.032402     2.566332
     0.012600     1.099557     3.002597    -0.037913     3.002837
     0.012600     1.256637     3.513306    -0.044361     3.513586
     0.012600     1.413717     4.110879    -0.051906     4.111207
     0.012600     1.570796     4.810094    -0.060735     4.810477
     0.012600     1.727876     5.628237    -0.071065     5.628686
     0.012600     1.884956     6.585537    -0.083153     6.586062
     0.012600     2.042035     7.705663    -0.097296     7.706277
     0.012600     2.199115     9.016312    -0.113847     9.017030
     0.012600     2.356194    10.549904    -0.133188    10.550745
     0.012600     2.513274    12.344081    -0.155616    12.345062
     0.012600     2.670354    14.441391    -0.184227    14.442566
     0.012600     2.827433    16.912530    -0.234399    16.914154
     0.012600     2.984513    19.909001    -0.203244    19.910038
     0.012600     3.141593    23.138856     0.291565    23.140693

     0.014000     0.000000     0.999902     0.014000     1.000000
     0.014000     0.157080     1.176936    -0.013720     1.177016
     0.014000     0.314159     1.369732    -0.020396     1.369883
     0.014000     0.471239     1.601664    -0.022603     1.601823
     0.014000     0.628319     1.874255    -0.026279     1.874439
     0.014000     0.785398     2.193066    -0.030766     2.193282
     0.014000     0.942478     2.566080    -0.036002     2.566333
     0.014000     1.099557     3.002541    -0.042125     3.002837
     0.014000     1.256637     3.513240    -0.049290     3.513586
     0.014000     1.413717     4.110803    -0.057673     4.111207
     0.014000     1.570796     4.810004    -0.067483     4.810477
     0.014000     1.727876     5.628132    -0.078961     5.628686
     0.014000     1.884956     6.585414    -0.092392     6.586062
     0.014000     2.042035     7.705519    -0.108107     7.706277
     0.014000     2.199115     9.016145    -0.126497     9.017032
     0.014000     2.356194    10.549721    -0.147968    10.550759
     0.014000     2.513274    12.343678    -0.172795    12.344887
     0.014000     2.670354    14.440038    -0.205656    14.441503
     0.014000     2.827433    16.917915    -0.264630    16.919985
     0.014000     2.984513    19.936042    -0.215093    19.937202
     0.014000     3.141593    23.138425     0.323959    23.140693

     0.015400     0.000000     0.999881     0.015399     1.000000
     0.015400     0.157080     1.178154    -0.014553     1.178244
     0.015400     0.314159     1.370023    -0.022632     1.370210
     0.015400     0.471239     1.601574    -0.024922     1.601768
     0.015400     0.628319     1.874204    -0.028900     1.874427
     0.015400     0.785398     2.193021    -0.033841     2.193282
     0.015400     0.942478     2.566027    -0.039601     2.566333
     0.015400     1.099557     3.002479    -0.046337     3.002837
     0.015400     1.256637     3.513167    -0.054218     3.513586
     0.015400     1.413717     4.110718    -0.063440     4.111207
     0.015400     1.570796     4.809905    -0.074231     4.810477
     0.015400     1.727876     5.628015    -0.086857     5.628686
     0.015400     1.884956     6.585278    -0.101630     6.586062
     0.015400     2.042035     7.705359    -0.118917     7.706277
     0.015400     2.199115     9.015963    -0.139147     9.017036
     0.015400     2.356194    10.549524    -0.162733    10.550779
     0.015400     2.513274    12.343154    -0.189932    12.344615
     0.015400     2.670354    14.438435    -0.227579    14.440228
     0.015400     2.827433    16.924954    -0.295642    16.927536
     0.015400     2.984513    19.964369    -0.224126    19.965627
     0.015400     3.141593    23.137949     0.356353    23.140693

     0.016800     0.000000     0.999859     0.016799     1.000000
     0.016800     0.157080     1.179411    -0.015263     1.179509
     0.016800     0.314159     1.370393    -0.024895     1.370619
     0.016800     0.471239     1.601473    -0.027268     1.601705
     0.016800     0.628319     1.874145    -0.031520     1.874410
     0.016800     0.785398     2.192973    -0.036915     2.193284
     0.016800     0.942478     2.565969    -0.043201     2.566333
     0.016800     1.099557     3.002411    -0.050549     3.002837
     0.016800     1.256637     3.513088    -0.059147     3.513586
     0.016800     1.413717     4.110625    -0.069207     4.111207
     0.016800     1.570796     4.809796    -0.080978     4.810477
     0.016800     1.727876     5.627888    -0.094752     5.628686
     0.016800     1.884956     6.585129    -0.110868     6.586062
     0.016800     2.042035     7.705185    -0.129727     7.706277
     0.016800     2.199115     9.015765    -0.151798     9.017043
     0.016800     2.356194    10.549311    -0.177476    10.550804
     0.016800     2.513274    12.342473    -0.207028    12.344209
     0.016800     2.670354    14.436605    -0.250115    14.438771
     0.016800     2.827433    16.933854    -0.327286    16.937016
     0.016800     2.984513    19.993620    -0.230317    19.994946
     0.016800     3.141593    23.137427     0.388745    23.140693

     0.018200     0.000000     0.999834     0.018199     1.000000
     0.018200     0.157080     1.180692    -0.015851     1.180798
     0.018200     0.314159     1.370850    -0.027178     1.371119
     0.018200     0.471239     1.601362    -0.029645     1.601636
     0.018200     0.628319     1.874074    -0.034138     1.874385
     0.018200     0.785398     2.192920    -0.039988     2.193285
     0.018200     0.942478     2.565907    -0.046801     2.566333
     0.018200     1.099557     3.002337    -0.054761     3.002837
     0.018200     1.256637     3.513001    -0.064075     3.513586
     0.018200     1.413717     4.110523    -0.074974     4.111207
     0.018200     1.570796     4.809677    -0.087726     4.810477
     0.018200     1.727876     5.627750    -0.102647     5.628686
     0.018200     1.884956     6.584966    -0.120106     6.586062
     0.018200     2.042035     7.704995    -0.140538     7.706276
     0.018200     2.199115     9.015554    -0.164449     9.017054
     0.018200     2.356194    10.549083    -0.192189    10.550834
     0.018200     2.513274    12.341596    -0.224091    12.343630
     0.018200     2.670354    14.434597    -0.273388    14.437186
     0.018200     2.827433    16.944799    -0.359372    16.948610
     0.018200     2.984513    20.023443    -0.233687    20.024807
     0.018200     3.141593    23.136860     0.421137    23.140693

     0.019600     0.000000     0.999808     0.019599     1.000000
     0.019600     0.157080     1.181982    -0.016321     1.182095
     0.019600     0.314159     1.371401    -0.029469     1.371718
     0.019600     0.471239     1.601245    -0.032059     1.601566
     0.019600     0.628319     1.873990    -0.036756     1.874350
     0.019600     0.785398     2.192863    -0.043059     2.193286
     0.019600     0.942478     2.565839    -0.050401     2.566334
     0.019600     1.099557     3.002258    -0.058973     3.002837
     0.019600     1.256637     3.512908    -0.069004     3.513586
     0.019600     1.413717     4.110414    -0.080740     4.111207
     0.019600     1.570796     4.809550    -0.094473     4.810477
     0.019600     1.727876     5.627600    -0.110542     5.628686
     0.019600     1.884956     6.584791    -0.129344     6.586062
     0.019600     2.042035     7.704790    -0.151349     7.706276
     0.019600     2.199115     9.015332    -0.177100     9.017071
