Archivo,Cuerda,Tension,Freq_1,Freq_2,Freq_3,Tension_Val
C1+180.mp3,C1,+180,341.67262330235883,0.0,0.0,180
C1+90.mp3,C1,+90,335.195530726257,0.0,0.0,90
C1-180.mp3,C1,-180,318.0194672410503,0.0,0.0,-180
C1-360.mp3,C1,-360,305.72912083076653,0.0,0.0,-360
C1-450.mp3,C1,-450,297.8574722924907,0.0,0.0,-450
C1-540.mp3,C1,-540,291.0168001110751,581.2930994585088,873.420650715046,-540
C1-630.mp3,C1,-630,285.1566312091344,0.0,0.0,-630
C1-720.mp3,C1,-720,285.72291886991997,569.5120108777761,0.0,-720
C1-810.mp3,C1,-810,285.7502200981009,569.4881147025532,855.238334800654,-810
C1-90.mp3,C1,-90,323.94298878703006,0.0,0.0,-90
C1-900.mp3,C1,-900,281.2335684179777,560.8646663606393,0.0,-900
C2+180.mp3,C2,+180,258.76731963688485,517.1524128045867,0.0,180
C2+90.mp3,C2,+90,253.94077744479668,507.3622485962502,0.0,90
C2-180.mp3,C2,-180,238.50931677018633,475.03105590062114,0.0,-180
C2-360.mp3,C2,-360,229.5446699144578,0.0,0.0,-360
C2-450.mp3,C2,-450,225.36763439749285,448.53118435100043,0.0,-450
C2-540.mp3,C2,-540,219.5248356564196,438.61324022803524,0.0,-540
C2-630.mp3,C2,-630,212.40314383314356,427.0280778737468,0.0,-630
C2-720.mp3,C2,-720,213.67583740786688,427.35167481573376,0.0,-720
C2-810.mp3,C2,-810,213.95915879305093,0.0,0.0,-810
C2-90.mp3,C2,-90,244.31039210309842,487.3868933369893,0.0,-90
C2-900.mp3,C2,-900,208.69134170522142,418.8697951090549,0.0,-900
C3+180.mp3,C3,+180,416.03338539512436,0.0,0.0,180
C3+90.mp3,C3,+90,201.7415086371589,405.4135580268265,0.0,90
C3-180.mp3,C3,-180,188.3648881239243,377.201868699287,0.0,-180
C3-360.mp3,C3,-360,174.89152324205367,350.28131293209043,0.0,-360
C3-450.mp3,C3,-450,169.55153422501968,339.8898505114084,0.0,-450
C3-540.mp3,C3,-540,166.9934340611208,334.78779586354193,0.0,-540
C3-630.mp3,C3,-630,163.29068020514947,326.99580376107343,0.0,-630
C3-720.mp3,C3,-720,163.41170570086783,327.1881696733894,0.0,-720
C3-810.mp3,C3,-810,163.77952755905514,327.8995530964035,492.36007661204513,-810
C3-90.mp3,C3,-90,191.3767689866536,383.9133971792869,576.8366451072468,-90
C3-900.mp3,C3,-900,159.3925810730458,319.22426016557654,0.0,-900
C4+180.mp3,C4,+180,151.6193634649182,303.7992421367307,0.0,180
C4+90.mp3,C4,+90,149.3207672201156,299.08331185804224,0.0,90
C4-180.mp3,C4,-180,142.73189061304015,285.9091225384455,428.64101315148565,-180
C4-360.mp3,C4,-360,139.79871052600674,280.16112552994093,419.9598360559476,-360
C4-450.mp3,C4,-450,137.8592117681518,275.7184235363036,413.18709929378076,-450
C4-540.mp3,C4,-540,135.450487012987,270.900974025974,406.351461038961,-540
C4-630.mp3,C4,-630,132.91996508442946,266.41784306053034,399.3378081449598,-630
C4-720.mp3,C4,-720,133.15495943152007,266.5879041645673,399.4648782945602,-720
C4-810.mp3,C4,-810,133.11127464270498,266.5943684883226,399.7056431310275,-810
C4-90.mp3,C4,-90,144.43360108099995,289.4677576758502,433.601080999925,-90
C4-900.mp3,C4,-900,131.70011527804928,263.40023055609856,394.7767583273222,-900
C5+180.mp3,C5,+180,112.83640372818628,225.43967439081848,0.0,180
C5+90.mp3,C5,+90,111.51280235548433,223.02560471096865,0.0,90
C5-180.mp3,C5,-180,106.50694578286462,213.25110079909862,320.4696742820715,-180
C5-360.mp3,C5,-360,103.21996491426631,205.9872106841718,310.11261388715974,-360
C5-450.mp3,C5,-450,100.29580212725786,200.2895084649758,301.1895021713135,-450
C5-540.mp3,C5,-540,98.21291291646462,196.42582583292923,295.4902957978025,-540
C5-630.mp3,C5,-630,96.37642676831975,192.7528535366395,289.82766020907746,-630
C5-720.mp3,C5,-720,96.66608977485485,192.9545776365267,289.99826932456455,-720
C5-810.mp3,C5,-810,193.37570175559003,290.5576983789274,387.0808340082083,-810
C5-90.mp3,C5,-90,108.47457627118645,217.62290767449207,327.1081166438573,-90
C5-900.mp3,C5,-900,94.60967444568435,189.2193488913687,284.41123671825727,-900
C6+180.mp3,C6,+180,85.48819802962328,171.2469283314922,257.5467231778524,180
C6+90.mp3,C6,+90,83.77516224837753,167.90232097679024,420.2837971620284,90
C6-180.mp3,C6,-180,80.74857975158417,161.49715950316835,242.76170462057735,-180
C6-360.mp3,C6,-360,75.36101083032491,151.17328519855596,226.98555956678703,-360
C6-450.mp3,C6,-450,73.9776107812332,148.24195648797505,223.07977204573422,-450
C6-540.mp3,C6,-540,72.68448202728405,145.3689640545681,218.27237524458494,-540
C6-630.mp3,C6,-630,71.09322602280349,142.52179745137494,213.61502347417843,-630
C6-720.mp3,C6,-720,71.24601676322297,142.49203352644594,428.36667578887807,-720
C6-810.mp3,C6,-810,214.23633722386413,286.6102289235085,357.54145168561837,-810
C6-90.mp3,C6,-90,81.85979714567813,164.02733788964827,0.0,-90
C6-900.mp3,C6,-900,69.93314567206194,139.60239268121043,419.33497536945816,-900
