Cuerda_Traste,Freq_1,Freq_2,Freq_3
-180 C1.mp3,318.0194672410503,0.0,0.0
-180 C2.mp3,238.50931677018633,475.03105590062114,0.0
-180 C3.mp3,188.3648881239243,377.201868699287,0.0
-180 C4.mp3,142.73189061304015,285.9091225384455,428.64101315148565
-180 C5.mp3,106.50694578286462,213.25110079909862,320.4696742820715
-180 C6.mp3,80.74857975158417,161.49715950316835,242.76170462057735
-90 C1.mp3,323.94298878703006,0.0,0.0
-90 C2.mp3,244.31039210309842,487.3868933369893,0.0
-90 C3.mp3,191.3767689866536,383.9133971792869,576.8366451072468
-90 C4.mp3,144.43360108099995,289.4677576758502,433.601080999925
-90 C5.mp3,108.47457627118645,217.62290767449207,327.1081166438573
-90 C6.mp3,81.85979714567813,164.02733788964827,0.0
180 C1.mp3,341.67262330235883,0.0,0.0
180 C2.mp3,258.76731963688485,517.1524128045867,0.0
180 C3.mp3,416.03338539512436,0.0,0.0
180 C4.mp3,151.6193634649182,303.7992421367307,0.0
180 C5.mp3,112.83640372818628,225.43967439081848,0.0
180 C6.mp3,85.48819802962328,171.2469283314922,257.5467231778524
90 C1.mp3,335.195530726257,0.0,0.0
90 C2.mp3,253.94077744479668,507.3622485962502,0.0
90 C3.mp3,201.7415086371589,405.4135580268265,0.0
90 C4.mp3,149.3207672201156,299.08331185804224,0.0
90 C5.mp3,111.51280235548433,223.02560471096865,0.0
90 C6.mp3,83.77516224837753,167.90232097679024,420.2837971620284
