     Tiempo (s)   Velocidad_real (m/s)   Velocidad_ruido (m/s)
       15.30000            57.14220855             57.60671595
       15.40000            57.23036154             57.81650649
       15.50000            57.31713714             55.88843431
       15.60000            57.40255688             61.13410590
       15.70000            57.48664192             58.43430777
       15.80000            57.56941314             55.18680615
       15.90000            57.65089106             58.96399828
       16.00000            57.73109589             55.78173255
       16.10000            57.81004752             59.38421673
       16.20000            57.88776553             60.20495668
       16.30000            57.96426919             56.32290455
       16.40000            58.03957748             59.96632974
       16.50000            58.11370908             58.93927094
       16.60000            58.18668238             59.83080270
       16.70000            58.25851547             62.05210143
       16.80000            58.32922616             57.83844993
       16.90000            58.39883201             56.89135968
       17.00000            58.46735026             56.68832140
       17.10000            58.53479791             56.90317734
       17.20000            58.60119169             58.44698827
       17.30000            58.66654807             59.34885202
       17.40000            58.73088326             59.28426486
       17.50000            58.79421321             60.44857970
       17.60000            58.85655362             58.88255741
       17.70000            58.91791997             61.82498813
       17.80000            58.97832747             58.44901381
       17.90000            59.03779111             64.47812944
       18.00000            59.09632562             60.34766032
       18.10000            59.15394553             57.43963042
       18.20000            59.21066513             57.06888014
       18.30000            59.26649849             60.23144332
       18.40000            59.32145945             58.87453388
       18.50000            59.37556165             60.80356264
       18.60000            59.42881850             60.37529375
       18.70000            59.48124321             59.33558538
       18.80000            59.53284878             57.83926135
       18.90000            59.58364802             56.55395357
       19.00000            59.63365352             58.74062362
       19.10000            59.68287769             61.39567527
       19.20000            59.73133272             60.15952021
       19.30000            59.77903065             57.28755309
       19.40000            59.82598329             60.17234515
       19.50000            59.87220230             60.64283706
       19.60000            59.91769914             58.14998427
       19.70000            59.96248509             60.26993531
       19.80000            60.00657126             60.12298870
       19.90000            60.04996859             57.76402799
       20.00000            60.09268783             60.80826255
       20.10000            60.13473958             61.25630864
       20.20000            60.17613428             62.34223676
       20.30000            60.21688218             62.32448628
       20.40000            60.25699339             57.50165466
       20.50000            60.29647787             58.42082779
       20.60000            60.33534541             61.36541594
       20.70000            60.37360563             61.40117754
       20.80000            60.41126805             61.44136342
       20.90000            60.44834198             68.15380496
       21.00000            60.48483664             61.62661766
       21.10000            60.52076107             62.79189235
       21.20000            60.55612417             62.46412770
       21.30000            60.59093473             61.89371724
       21.40000            60.62520138             59.99466289
       21.50000            60.65893261             62.17687105
       21.60000            60.69213679             59.14648636
       21.70000            60.72482215             60.25118494
       21.80000            60.75699680             59.78626971
       21.90000            60.78866873             60.95241701
       22.00000            60.81984578             65.44916291
       22.10000            60.85053569             57.11600530
       22.20000            60.88074607             62.25326645
       22.30000            60.91048441             57.68505267
       22.40000            60.93975809             59.99589436
       22.50000            60.96857437             63.14647557
       22.60000            60.99694040             61.12550044
       22.70000            61.02486320             58.86937365
       22.80000            61.05234972             59.62174230
       22.90000            61.07940675             62.43860225
       23.00000            61.10604102             59.64530776
       23.10000            61.13225913             61.56517631
       23.20000            61.15806758             61.24921126
       23.30000            61.18347278             59.88027208
       23.40000            61.20848101             65.49636919
       23.50000            61.23309850             62.50093654
       23.60000            61.25733133             57.20704616
       23.70000            61.28118553             61.65409416
       23.80000            61.30466701             59.98109408
       23.90000            61.32778159             63.03264825
       24.00000            61.35053500             59.76549352
       24.10000            61.37293289             61.14346001
       24.20000            61.39498081             62.40495537
       24.30000            61.41668424             63.14819463
       24.40000            61.43804855             59.03745573
       24.50000            61.45907904             60.79007657
       24.60000            61.47978093             60.52989031
       24.70000            61.50015935             60.19350089
       24.80000            61.52021936             65.05112784
       24.90000            61.53996593             62.34992936
       25.00000            61.55940397             59.03763606
       25.10000            61.57853828             63.41426217
       25.20000            61.59737362             65.84168601
       25.30000            61.61591466             63.68084518
       25.40000            61.63416599             58.59542606
       25.50000            61.65213215             60.68366400
       25.60000            61.66981758             64.20363988
       25.70000            61.68722668             60.27188775
       25.80000            61.70436376             62.59200262
       25.90000            61.72123308             63.27050119
       26.00000            61.73783881             59.88397787
       26.10000            61.75418508             61.63513437
       26.20000            61.77027594             55.28774126
       26.30000            61.78611538             59.73734010
       26.40000            61.80170733             61.29657102
       26.50000            61.81705565             59.32148928
       26.60000            61.83216415             65.09698676
       26.70000            61.84703659             58.98675383
       26.80000            61.86167664             60.98158767
       26.90000            61.87608794             62.13756910
       27.00000            61.89027407             64.77282065
       27.10000            61.90423854             59.03251424
       27.20000            61.91798481             64.24431232
       27.30000            61.93151630             61.95198242
       27.40000            61.94483636             59.98181905
       27.50000            61.95794829             62.88215524
       27.60000            61.97085535             62.36897474
       27.70000            61.98356073             60.78312698
       27.80000            61.99606759             62.13567176
       27.90000            62.00837904             61.23775185
       28.00000            62.02049812             62.24753281
       28.10000            62.03242783             63.35668918
       28.20000            62.04417115             65.21620478
       28.30000            62.05573097             59.58009998
       28.40000            62.06711018             66.33317693
       28.50000            62.07831158             58.17413598
       28.60000            62.08933796             61.78576777
       28.70000            62.10019206             63.27682647
       28.80000            62.11087656             62.67286029
       28.90000            62.12139411             60.87599507
       29.00000            62.13174733             61.71550283
       29.10000            62.14193877             61.15593691
       29.20000            62.15197098             60.97324147
       29.30000            62.16184644             63.86105063
       29.40000            62.17156758             62.88559856
       29.50000            62.18113684             60.79531765
       29.60000            62.19055658             63.98975633
       29.70000            62.19982913             62.81442817
       29.80000            62.20895680             63.83468104
       29.90000            62.21794185             63.47719953
       30.00000            62.22678651             60.56879649
       30.10000            62.23549297             61.11513089
       30.20000            62.24406339             63.73865060
       30.30000            62.25249990             63.47324043
       30.40000            62.26080459             62.21900140
       30.50000            62.26897952             62.50363429
       30.60000            62.27702671             64.83235651
       30.70000            62.28494817             61.10180539
       30.80000            62.29274586             63.38694062
       30.90000            62.30042170             61.89603640
       31.00000            62.30797761             61.87261521
       31.10000            62.31541546             64.51296917
       31.20000            62.32273710             63.97356980
       31.30000            62.32994433             63.95696360
       31.40000            62.33703895             64.94799656
       31.50000            62.34402272             62.38603040
       31.60000            62.35089736             63.71480330
       31.70000            62.35766459             61.73713108
       31.80000            62.36432608             63.01265879
       31.90000            62.37088349             62.11059738
       32.00000            62.37733843             62.57133036
       32.10000            62.38369252             63.57400657
       32.20000            62.38994732             60.75350596
       32.30000            62.39610440             66.58087895
       32.40000            62.40216526             60.39013050
       32.50000            62.40813143             59.97975421
       32.60000            62.41400438             64.73022613
       32.70000            62.41978556             64.00311095
       32.80000            62.42547641             63.67371604
       32.90000            62.43107834             63.68776936
       33.00000            62.43659274             62.41209920
       33.10000            62.44202098             60.64751224
       33.20000            62.44736440             62.59897352
       33.30000            62.45262433             61.09830091
       33.40000            62.45780208             64.40804155
       33.50000            62.46289892             62.16878416
       33.60000            62.46791613             60.81692173
       33.70000            62.47285494             61.83008325
       33.80000            62.47771658             63.30357949
       33.90000            62.48250226             61.35505315
       34.00000            62.48721316             60.84277237
       34.10000            62.49185045             62.97922488
       34.20000            62.49641529             62.98634843
       34.30000            62.50090880             61.48702245
       34.40000            62.50533210             61.56325549
       34.50000            62.50968629             62.97378616
       34.60000            62.51397244             59.61780376
       34.70000            62.51819162             59.70326407
       34.80000            62.52234488             61.08545643
       34.90000            62.52643324             62.09953893
       35.00000            62.53045772             63.15227285
       35.10000            62.53441932             65.48513175
       35.20000            62.53831901             64.25363826
       35.30000            62.54215778             62.22228072
       35.40000            62.54593656             62.50790415
       35.50000            62.54965631             60.54459758
       35.60000            62.55331793             62.51629165
