Complexity,Loss,Equation
1,15609.056,"280.40714"
3,10134.78,"134.19193 / x2"
4,9853.066,"sqrt(x0 / x1)"
5,9098.74,"(0.09497066 / x1) + 166.77034"
6,3238.5366,"(4.1110587 / sqrt(x1)) / x2"
7,1503.3623,"((0.049395554 / x1) + 77.2484) / x2"
9,969.85016,"((x0 * (0.00078968453 / x1)) + 80.94828) / x2"
11,933.6602,"((x0 * ((0.0008149905 - x1) / x1)) + 138.70131) / x2"
12,928.96313,"(((sqrt(x0 + -21.671566) / x1) * 0.007930782) + 79.40099) / x2"
