Complexity,Loss,Equation
1,15609.056,"280.40714"
3,10134.78,"134.20773 / x2"
4,9853.066,"sqrt(x0 / x1)"
5,9098.74,"(0.09497191 / x1) - -166.76697"
6,3238.5366,"(4.111116 / sqrt(x1)) / x2"
7,1503.3622,"((0.049395856 / x1) + 77.24789) / x2"
9,969.8502,"(((x0 * 0.0007896881) / x1) - -80.94769) / x2"
11,933.6601,"(((0.0008149699 - x1) * (x0 / x1)) - -138.70148) / x2"
12,928.9633,"((sqrt(x0 + -21.679945) * (0.007931221 / x1)) - -79.40762) / x2"
