# traste freq1_hz freq2_hz freq3_hz
0 165.054970 165.442423 413.412331
1 174.816722 174.565548 87.408361
2 186.019175 186.313044 93.156522
3 196.764485 98.570354 197.140707
4 104.587972 104.278540 104.897404
5 110.279658 110.591183 109.968134
6 117.672244 117.340773 118.003715
7 124.471859 124.803784 124.139934
8 132.525897 132.784737 132.267058
9 139.332366 139.693330 138.971401
10 148.114761 148.530814 147.698709
11 156.371382 156.772334 155.970430
12 165.554372 166.003028 165.105715
13 175.325787 175.782365 174.869210
