0 0.01
1 0.01198
2 0.013956
3 0.0159281
4 0.0178963
5 0.0198605
6 0.0218208
7 0.0237771
8 0.0257296
9 0.0276781
10 0.0296227
11 0.0315635
12 0.0335004
13 0.0354334
14 0.0373625
15 0.0392878
16 0.0412092
17 0.0431268
18 0.0450405
19 0.0469505
20 0.0488566
21 0.0507588
22 0.0526573
23 0.054552
24 0.0564429
25 0.05833
26 0.0602134
27 0.0620929
28 0.0639687
29 0.0658408
30 0.0677091
31 0.0695737
32 0.0714346
33 0.0732917
34 0.0751451
35 0.0769948
36 0.0788408
37 0.0806831
38 0.0825218
39 0.0843567
40 0.086188
41 0.0880156
42 0.0898396
43 0.0916599
44 0.0934766
45 0.0952897
46 0.0970991
47 0.0989049
48 0.100707
49 0.102506
50 0.104301
