         t        T1        T2        T3        T4        T5        T6        T7        T8        T9       T10  T_frontera
    2.5500    0.0000   17.4315   34.0426   49.1262   62.1762   72.9307   81.3661   87.6498   92.0663   94.9364     97.0798
    2.6000    0.0000   17.2674   33.7371   48.7195   61.7171   72.4669   80.9357   87.2763   91.7570   94.6839     96.8782
    2.6500    0.0000   17.1079   33.4396   48.3225   61.2675   72.0107   80.5101   86.9043   91.4462   94.4276     96.6710
    2.7000    0.0000   16.9526   33.1498   47.9349   60.8272   71.5619   80.0891   86.5339   91.1341   94.1679     96.4585
    2.7500    0.0000   16.8015   32.8674   47.5564   60.3957   71.1204   79.6726   86.1650   90.8208   93.9047     96.2408
    2.8000    0.0000   16.6544   32.5920   47.1864   59.9727   70.6859   79.2606   85.7977   90.5064   93.6383     96.0181
    2.8500    0.0000   16.5111   32.3234   46.8248   59.5581   70.2582   78.8531   85.4320   90.1911   93.3689     95.7906
    2.9000    0.0000   16.3713   32.0612   46.4712   59.1515   69.8372   78.4499   85.0680   89.8748   93.0966     95.5585
    2.9500    0.0000   16.2350   31.8052   46.1252   58.7526   69.4226   78.0510   84.7058   89.5578   92.8215     95.3219
    3.0000    0.0000   16.1021   31.5552   45.7867   58.3611   69.0143   77.6563   84.3452   89.2401   92.5438     95.0811
    3.0500    0.0000   15.9723   31.3109   45.4553   57.9769   68.6120   77.2656   83.9864   88.9219   92.2637     94.8362
    3.1000    0.0000   15.8455   31.0720   45.1307   57.5996   68.2157   76.8791   83.6294   88.6032   91.9812     94.5873
    3.1500    0.0000   15.7217   30.8385   44.8127   57.2290   67.8252   76.4965   83.2741   88.2840   91.6965     94.3348
    3.2000    0.0000   15.6007   30.6100   44.5011   56.8650   67.4402   76.1177   82.9205   87.9645   91.4098     94.0786
    3.2500    0.0000   15.4824   30.3864   44.1957   56.5073   67.0607   75.7428   82.5688   87.6448   91.1210     93.8190
    3.3000    0.0000   15.3667   30.1674   43.8961   56.1556   66.6864   75.3715   82.2188   87.3248   90.8305     93.5561
    3.3500    0.0000   15.2535   29.9530   43.6023   55.8099   66.3173   75.0040   81.8705   87.0047   90.5382     93.2901
    3.4000    0.0000   15.1427   29.7430   43.3140   55.4698   65.9531   74.6399   81.5241   86.6846   90.2443     93.0212
    3.4500    0.0000   15.0342   29.5371   43.0309   55.1353   65.5938   74.2794   81.1793   86.3644   89.9489     92.7494
    3.5000    0.0000   14.9280   29.3353   42.7531   54.8062   65.2392   73.9223   80.8364   86.0443   89.6521     92.4749
    3.5500    0.0000   14.8238   29.1374   42.4801   54.4822   64.8892   73.5685   80.4951   85.7243   89.3539     92.1979
    3.6000    0.0000   14.7218   28.9432   42.2120   54.1632   64.5437   73.2180   80.1556   85.4044   89.0546     91.9185
    3.6500    0.0000   14.6217   28.7527   41.9485   53.8490   64.2024   72.8706   79.8178   85.0847   88.7541     91.6368
    3.7000    0.0000   14.5236   28.5657   41.6894   53.5396   63.8654   72.5264   79.4818   84.7652   88.4526     91.3529
    3.7500    0.0000   14.4273   28.3820   41.4347   53.2347   63.5324   72.1853   79.1474   84.4460   88.1502     91.0670
    3.8000    0.0000   14.3328   28.2016   41.1842   52.9343   63.2035   71.8471   78.8147   84.1271   87.8469     90.7792
    3.8500    0.0000   14.2400   28.0243   40.9377   52.6381   62.8784   71.5119   78.4837   83.8086   87.5428     90.4896
    3.9000    0.0000   14.1489   27.8501   40.6951   52.3461   62.5570   71.1796   78.1543   83.4904   87.2380     90.1983
    3.9500    0.0000   14.0593   27.6789   40.4563   52.0581   62.2393   70.8500   77.8266   83.1727   86.9325     89.9054
    4.0000    0.0000   13.9714   27.5104   40.2212   51.7740   61.9252   70.5232   77.5005   82.8555   86.6265     89.6110
    4.0500    0.0000   13.8849   27.3448   39.9896   51.4936   61.6146   70.1991   77.1760   82.5387   86.3200     89.3153
    4.1000    0.0000   13.7999   27.1818   39.7614   51.2170   61.3073   69.8775   76.8532   82.2224   86.0130     89.0182
    4.1500    0.0000   13.7163   27.0213   39.5366   50.9439   61.0033   69.5586   76.5319   81.9067   85.7057     88.7200
    4.2000    0.0000   13.6340   26.8634   39.3150   50.6743   60.7025   69.2422   76.2122   81.5915   85.3980     88.4206
    4.2500    0.0000   13.5531   26.7078   39.0966   50.4081   60.4048   68.9283   75.8941   81.2769   85.0901     88.1202
    4.3000    0.0000   13.4734   26.5546   38.8811   50.1451   60.1102   68.6167   75.5775   80.9630   84.7820     87.8189
    4.3500    0.0000   13.3950   26.4037   38.6686   49.8853   59.8185   68.3076   75.2624   80.6497   84.4737     87.5168
    4.4000    0.0000   13.3177   26.2549   38.4590   49.6286   59.5297   68.0007   74.9489   80.3370   84.1654     87.2138
    4.4500    0.0000   13.2416   26.1083   38.2521   49.3749   59.2437   67.6961   74.6369   80.0251   83.8570     86.9101
    4.5000    0.0000   13.1666   25.9637   38.0479   49.1241   58.9604   67.3938   74.3264   79.7138   83.5486     86.6059
    4.5500    0.0000   13.0927   25.8211   37.8463   48.8761   58.6798   67.0936   74.0174   79.4033   83.2402     86.3010
    4.6000    0.0000   13.0199   25.6805   37.6472   48.6309   58.4018   66.7956   73.7098   79.0935   82.9319     85.9957
    4.6500    0.0000   12.9480   25.5417   37.4506   48.3884   58.1264   66.4997   73.4037   78.7844   82.6238     85.6899
    4.7000    0.0000   12.8772   25.4048   37.2564   48.1484   57.8535   66.2058   73.0990   78.4762   82.3158     85.3837
    4.7500    0.0000   12.8072   25.2696   37.0645   47.9110   57.5829   65.9140   72.7958   78.1687   82.0081     85.0773
    4.8000    0.0000   12.7383   25.1361   36.8748   47.6761   57.3148   65.6242   72.4940   77.8620   81.7006     84.7705
    4.8500    0.0000   12.6702   25.0043   36.6873   47.4436   57.0489   65.3363   72.1936   77.5561   81.3934     84.4636
    4.9000    0.0000   12.6030   24.8741   36.5020   47.2134   56.7853   65.0503   71.8947   77.2511   81.0865     84.1566
    4.9500    0.0000   12.5366   24.7454   36.3187   46.9855   56.5239   64.7662   71.5971   76.9469   80.7799     83.8494
    5.0000    0.0000   12.4710   24.6183   36.1374   46.7598   56.2647   64.4839   71.3008   76.6435   80.4737     83.5422
    5.0500    0.0000   12.4063   24.4927   35.9580   46.5363   56.0075   64.2034   71.0060   76.3410   80.1679     83.2350
    5.1000    0.0000   12.3423   24.3685   35.7806   46.3149   55.7525   63.9248   70.7125   76.0394   79.8626     82.9278
    5.1500    0.0000   12.2791   24.2457   35.6050   46.0956   55.4994   63.6478   70.4203   75.7387   79.5578     82.6207
    5.2000    0.0000   12.2166   24.1242   35.4313   45.8782   55.2483   63.3727   70.1295   75.4388   79.2534     82.3138
    5.2500    0.0000   12.1548   24.0041   35.2592   45.6629   54.9992   63.0992   69.8400   75.1399   78.9495     82.0070
    5.3000    0.0000   12.0937   23.8853   35.0889   45.4494   54.7519   62.8273   69.5518   74.8418   78.6462     81.7005
    5.3500    0.0000   12.0333   23.7677   34.9203   45.2378   54.5065   62.5571   69.2649   74.5447   78.3435     81.3941
    5.4000    0.0000   11.9735   23.6513   34.7533   45.0280   54.2629   62.2886   68.9793   74.2485   78.0413     81.0881
    5.4500    0.0000   11.9144   23.5361   34.5878   44.8201   54.0210   62.0216   68.6950   73.9532   77.7398     80.7824
    5.5000    0.0000   11.8558   23.4221   34.4239   44.6138   53.7810   61.7562   68.4120   73.6589   77.4389     80.4770
    5.5500    0.0000   11.7979   23.3092   34.2616   44.4093   53.5426   61.4923   68.1302   73.3655   77.1386     80.1720
    5.6000    0.0000   11.7406   23.1974   34.1006   44.2064   53.3058   61.2299   67.8497   73.0731   76.8390     79.8674
    5.6500    0.0000   11.6839   23.0867   33.9411   44.0051   53.0708   60.9691   67.5704   72.7816   76.5401     79.5633
    5.7000    0.0000   11.6277   22.9770   33.7831   43.8055   52.8373   60.7097   67.2924   72.4910   76.2418     79.2596
    5.7500    0.0000   11.5720   22.8684   33.6263   43.6073   52.6054   60.4517   67.0156   72.2015   75.9443     78.9564
    5.8000    0.0000   11.5169   22.7607   33.4709   43.4108   52.3751   60.1952   66.7400   71.9129   75.6476     78.6537
    5.8500    0.0000   11.4623   22.6540   33.3168   43.2157   52.1462   59.9401   66.4656   71.6252   75.3515     78.3516
    5.9000    0.0000   11.4081   22.5482   33.1640   43.0220   51.9189   59.6865   66.1924   71.3386   75.0563     78.0500
    5.9500    0.0000   11.3545   22.4434   33.0125   42.8298   51.6930   59.4341   65.9205   71.0529   74.7618     77.7490
    6.0000    0.0000   11.3014   22.3394   32.8621   42.6390   51.4686   59.1832   65.6497   70.7682   74.4681     77.4486
    6.0500    0.0000   11.2487   22.2363   32.7129   42.4495   51.2456   58.9336   65.3801   70.4845   74.1752     77.1488
    6.1000    0.0000   11.1965   22.1341   32.5649   42.2614   51.0240   58.6853   65.1117   70.2017   73.8831     76.8497
    6.1500    0.0000   11.1447   22.0328   32.4181   42.0746   50.8037   58.4383   64.8444   69.9200   73.5918     76.5513
    6.2000    0.0000   11.0934   21.9322   32.2723   41.8891   50.5848   58.1926   64.5783   69.6392   73.3014     76.2535
    6.2500    0.0000   11.0425   21.8325   32.1277   41.7049   50.3672   57.9482   64.3133   69.3595   73.0118     75.9564
    6.3000    0.0000   10.9920   21.7335   31.9841   41.5219   50.1510   57.7050   64.0495   69.0807   72.7230     75.6600
    6.3500    0.0000   10.9419   21.6353   31.8415   41.3402   49.9360   57.4631   63.7869   68.8029   72.4351     75.3644
    6.4000    0.0000   10.8922   21.5379   31.7000   41.1596   49.7222   57.2224   63.5253   68.5261   72.1481     75.0695
    6.4500    0.0000   10.8429   21.4412   31.5595   40.9802   49.5097   56.9830   63.2649   68.2504   71.8619     74.7754
    6.5000    0.0000   10.7940   21.3452   31.4200   40.8020   49.2985   56.7447   63.0056   67.9756   71.5766     74.4820
    6.5500    0.0000   10.7454   21.2499   31.2814   40.6249   49.0884   56.5076   62.7474   67.7018   71.2922     74.1894
    6.6000    0.0000   10.6972   21.1553   31.1438   40.4489   48.8796   56.2718   62.4903   67.4290   71.0087     73.8976
    6.6500    0.0000   10.6494   21.0614   31.0071   40.2740   48.6719   56.0370   62.2344   67.1572   70.7261     73.6066
    6.7000    0.0000   10.6019   20.9681   30.8714   40.1002   48.4653   55.8035   61.9795   66.8864   70.4444     73.3165
    6.7500    0.0000   10.5548   20.8755   30.7365   39.9275   48.2599   55.5710   61.7257   66.6166   70.1636     73.0271
    6.8000    0.0000   10.5080   20.7836   30.6025   39.7558   48.0557   55.3397   61.4729   66.3478   69.8837     72.7386
    6.8500    0.0000   10.4615   20.6922   30.4694   39.5851   47.8525   55.1096   61.2213   66.0800   69.6048     72.4509
    6.9000    0.0000   10.4153   20.6015   30.3371   39.4154   47.6504   54.8805   60.9707   65.8132   69.3268     72.1641
    6.9500    0.0000   10.3695   20.5114   30.2056   39.2468   47.4494   54.6525   60.7212   65.5474   69.0497     71.8782
    7.0000    0.0000   10.3240   20.4219   30.0750   39.0791   47.2495   54.4256   60.4727   65.2826   68.7735     71.5931
    7.0500    0.0000   10.2788   20.3329   29.9452   38.9123   47.0507   54.1998   60.2253   65.0188   68.4983     71.3089
    7.1000    0.0000   10.2338   20.2445   29.8162   38.7466   46.8528   53.9751   59.9789   64.7560   68.2240     71.0256
    7.1500    0.0000   10.1892   20.1567   29.6879   38.5817   46.6560   53.7514   59.7335   64.4942   67.9506     70.7431
    7.2000    0.0000   10.1449   20.0695   29.5605   38.4178   46.4602   53.5287   59.4892   64.2333   67.6782     70.4616
    7.2500    0.0000   10.1008   19.9827   29.4337   38.2548   46.2655   53.3071   59.2460   63.9735   67.4067     70.1810
    7.3000    0.0000   10.0570   19.8966   29.3078   38.0927   46.0717   53.0866   59.0037   63.7146   67.1362     69.9012
    7.3500    0.0000   10.0135   19.8109   29.1825   37.9315   45.8789   52.8670   58.7625   63.4568   66.8667     69.6224
    7.4000    0.0000    9.9703   19.7257   29.0580   37.7712   45.6870   52.6485   58.5222   63.1999   66.5980     69.3445
    7.4500    0.0000    9.9273   19.6411   28.9342   37.6117   45.4962   52.4309   58.2830   62.9440   66.3304     69.0676
    7.5000    0.0000    9.8846   19.5570   28.8111   37.4531   45.3062   52.2144   58.0448   62.6891   66.0637     68.7915
    7.5500    0.0000    9.8422   19.4733   28.6887   37.2953   45.1172   51.9988   57.8076   62.4351   65.7979     68.5164
    7.6000    0.0000    9.8000   19.3902   28.5669   37.1384   44.9292   51.7843   57.5713   62.1822   65.5331     68.2422
    7.6500    0.0000    9.7580   19.3075   28.4459   36.9822   44.7420   51.5707   57.3361   61.9302   65.2693     67.9689
    7.7000    0.0000    9.7163   19.2253   28.3255   36.8269   44.5558   51.3580   57.1018   61.6792   65.0064     67.6966
    7.7500    0.0000    9.6748   19.1435   28.2057   36.6724   44.3705   51.1463   56.8685   61.4292   64.7445     67.4252
    7.8000    0.0000    9.6336   19.0622   28.0866   36.5187   44.1860   50.9356   56.6362   61.1801   64.4835     67.1548
    7.8500    0.0000    9.5926   18.9814   27.9681   36.3657   44.0025   50.7258   56.4049   60.9320   64.2235     66.8853
    7.9000    0.0000    9.5518   18.9010   27.8503   36.2136   43.8198   50.5170   56.1745   60.6849   63.9645     66.6167
