# t            x            u_real       u_imag       u_abs
     0.004400     2.199115    -0.587780    -0.002565     0.587785
     0.004400     2.513274    -0.809009    -0.003530     0.809017
     0.004400     2.827433    -0.951048    -0.004150     0.951057
     0.004400     3.141593    -0.999990    -0.004400     1.000000

     0.005500    -3.141593    -0.999985    -0.005500     1.000000
     0.005500    -2.827433    -0.951044    -0.005188     0.951058
     0.005500    -2.513274    -0.809005    -0.004413     0.809017
     0.005500    -2.199115    -0.587777    -0.003206     0.587785
     0.005500    -1.884956    -0.309012    -0.001686     0.309017
     0.005500    -1.570796    -0.000000    -0.000000     0.000000
     0.005500    -1.256637     0.309012     0.001686     0.309017
     0.005500    -0.942478     0.587777     0.003206     0.587785
     0.005500    -0.628319     0.809005     0.004413     0.809017
     0.005500    -0.314159     0.951042     0.005188     0.951057
     0.005500     0.000000     0.999985     0.005455     1.000000
     0.005500     0.314159     0.951042     0.005188     0.951057
     0.005500     0.628319     0.809005     0.004413     0.809017
     0.005500     0.942478     0.587777     0.003206     0.587785
     0.005500     1.256637     0.309012     0.001686     0.309017
     0.005500     1.570796    -0.000000    -0.000000     0.000000
     0.005500     1.884956    -0.309012    -0.001686     0.309017
     0.005500     2.199115    -0.587777    -0.003206     0.587785
     0.005500     2.513274    -0.809005    -0.004413     0.809017
     0.005500     2.827433    -0.951044    -0.005188     0.951058
     0.005500     3.141593    -0.999985    -0.005500     1.000000

     0.006600    -3.141593    -0.999978    -0.006600     1.000000
     0.006600    -2.827433    -0.951038    -0.006226     0.951058
     0.006600    -2.513274    -0.809000    -0.005296     0.809017
     0.006600    -2.199115    -0.587773    -0.003848     0.587785
     0.006600    -1.884956    -0.309010    -0.002023     0.309017
     0.006600    -1.570796    -0.000000    -0.000000     0.000000
     0.006600    -1.256637     0.309010     0.002023     0.309017
     0.006600    -0.942478     0.587773     0.003848     0.587785
     0.006600    -0.628319     0.809000     0.005296     0.809017
     0.006600    -0.314159     0.951036     0.006225     0.951057
     0.006600     0.000000     0.999979     0.006546     1.000000
     0.006600     0.314159     0.951036     0.006225     0.951057
     0.006600     0.628319     0.809000     0.005296     0.809017
     0.006600     0.942478     0.587773     0.003848     0.587785
     0.006600     1.256637     0.309010     0.002023     0.309017
     0.006600     1.570796    -0.000000    -0.000000     0.000000
     0.006600     1.884956    -0.309010    -0.002023     0.309017
     0.006600     2.199115    -0.587773    -0.003848     0.587785
     0.006600     2.513274    -0.809000    -0.005296     0.809017
     0.006600     2.827433    -0.951038    -0.006226     0.951058
     0.006600     3.141593    -0.999978    -0.006600     1.000000

     0.007700    -3.141593    -0.999970    -0.007700     1.000000
     0.007700    -2.827433    -0.951031    -0.007263     0.951059
     0.007700    -2.513274    -0.808993    -0.006178     0.809017
     0.007700    -2.199115    -0.587768    -0.004489     0.587785
     0.007700    -1.884956    -0.309008    -0.002360     0.309017
     0.007700    -1.570796    -0.000000    -0.000000     0.000000
     0.007700    -1.256637     0.309008     0.002360     0.309017
     0.007700    -0.942478     0.587768     0.004489     0.587785
     0.007700    -0.628319     0.808993     0.006178     0.809017
     0.007700    -0.314159     0.951029     0.007263     0.951057
     0.007700     0.000000     0.999971     0.007637     1.000000
     0.007700     0.314159     0.951029     0.007263     0.951057
     0.007700     0.628319     0.808993     0.006178     0.809017
     0.007700     0.942478     0.587768     0.004489     0.587785
     0.007700     1.256637     0.309008     0.002360     0.309017
     0.007700     1.570796    -0.000000    -0.000000     0.000000
     0.007700     1.884956    -0.309008    -0.002360     0.309017
     0.007700     2.199115    -0.587768    -0.004489     0.587785
     0.007700     2.513274    -0.808993    -0.006178     0.809017
     0.007700     2.827433    -0.951031    -0.007263     0.951059
     0.007700     3.141593    -0.999970    -0.007700     1.000000

     0.008800    -3.141593    -0.999961    -0.008800     1.000000
     0.008800    -2.827433    -0.951023    -0.008301     0.951060
     0.008800    -2.513274    -0.808986    -0.007061     0.809017
     0.008800    -2.199115    -0.587763    -0.005130     0.587785
     0.008800    -1.884956    -0.309005    -0.002697     0.309017
     0.008800    -1.570796    -0.000000    -0.000000     0.000000
     0.008800    -1.256637     0.309005     0.002697     0.309017
     0.008800    -0.942478     0.587763     0.005130     0.587785
     0.008800    -0.628319     0.808986     0.007061     0.809017
     0.008800    -0.314159     0.951020     0.008301     0.951057
     0.008800     0.000000     0.999962     0.008728     1.000000
     0.008800     0.314159     0.951020     0.008301     0.951057
     0.008800     0.628319     0.808986     0.007061     0.809017
     0.008800     0.942478     0.587763     0.005130     0.587785
     0.008800     1.256637     0.309005     0.002697     0.309017
     0.008800     1.570796    -0.000000    -0.000000     0.000000
     0.008800     1.884956    -0.309005    -0.002697     0.309017
     0.008800     2.199115    -0.587763    -0.005130     0.587785
     0.008800     2.513274    -0.808986    -0.007061     0.809017
     0.008800     2.827433    -0.951023    -0.008301     0.951060
     0.008800     3.141593    -0.999961    -0.008800     1.000000

     0.009900    -3.141593    -0.999951    -0.009900     1.000000
     0.009900    -2.827433    -0.951015    -0.009338     0.951061
     0.009900    -2.513274    -0.808978    -0.007943     0.809017
     0.009900    -2.199115    -0.587757    -0.005771     0.587785
     0.009900    -1.884956    -0.309002    -0.003034     0.309017
     0.009900    -1.570796    -0.000000    -0.000000     0.000000
     0.009900    -1.256637     0.309002     0.003034     0.309017
     0.009900    -0.942478     0.587757     0.005771     0.587785
     0.009900    -0.628319     0.808978     0.007943     0.809017
     0.009900    -0.314159     0.951011     0.009338     0.951057
     0.009900     0.000000     0.999952     0.009819     1.000000
     0.009900     0.314159     0.951011     0.009338     0.951057
     0.009900     0.628319     0.808978     0.007943     0.809017
     0.009900     0.942478     0.587757     0.005771     0.587785
     0.009900     1.256637     0.309002     0.003034     0.309017
     0.009900     1.570796    -0.000000    -0.000000     0.000000
     0.009900     1.884956    -0.309002    -0.003034     0.309017
     0.009900     2.199115    -0.587757    -0.005771     0.587785
     0.009900     2.513274    -0.808978    -0.007943     0.809017
     0.009900     2.827433    -0.951015    -0.009338     0.951061
     0.009900     3.141593    -0.999951    -0.009900     1.000000

     0.011000    -3.141593    -0.999940    -0.011000     1.000000
     0.011000    -2.827433    -0.951005    -0.010376     0.951062
     0.011000    -2.513274    -0.808969    -0.008826     0.809017
     0.011000    -2.199115    -0.587750    -0.006413     0.587785
     0.011000    -1.884956    -0.308999    -0.003371     0.309017
     0.011000    -1.570796    -0.000000    -0.000000     0.000000
     0.011000    -1.256637     0.308999     0.003371     0.309017
     0.011000    -0.942478     0.587750     0.006413     0.587785
     0.011000    -0.628319     0.808969     0.008826     0.809017
     0.011000    -0.314159     0.951000     0.010376     0.951057
     0.011000     0.000000     0.999940     0.010910     1.000000
     0.011000     0.314159     0.951000     0.010376     0.951057
     0.011000     0.628319     0.808969     0.008826     0.809017
     0.011000     0.942478     0.587750     0.006413     0.587785
     0.011000     1.256637     0.308999     0.003371     0.309017
     0.011000     1.570796    -0.000000    -0.000000     0.000000
     0.011000     1.884956    -0.308999    -0.003371     0.309017
     0.011000     2.199115    -0.587750    -0.006413     0.587785
     0.011000     2.513274    -0.808969    -0.008826     0.809017
     0.011000     2.827433    -0.951005    -0.010376     0.951062
     0.011000     3.141593    -0.999940    -0.011000     1.000000

     0.012100    -3.141593    -0.999927    -0.012100     1.000000
     0.012100    -2.827433    -0.950994    -0.011414     0.951063
     0.012100    -2.513274    -0.808959    -0.009708     0.809017
     0.012100    -2.199115    -0.587743    -0.007054     0.587785
     0.012100    -1.884956    -0.308995    -0.003708     0.309017
     0.012100    -1.570796    -0.000000    -0.000000     0.000000
     0.012100    -1.256637     0.308995     0.003708     0.309017
     0.012100    -0.942478     0.587743     0.007054     0.587785
     0.012100    -0.628319     0.808959     0.009709     0.809017
     0.012100    -0.314159     0.950988     0.011413     0.951057
     0.012100     0.000000     0.999928     0.012001     1.000000
     0.012100     0.314159     0.950988     0.011413     0.951057
     0.012100     0.628319     0.808959     0.009709     0.809017
     0.012100     0.942478     0.587743     0.007054     0.587785
     0.012100     1.256637     0.308995     0.003708     0.309017
     0.012100     1.570796    -0.000000    -0.000000     0.000000
     0.012100     1.884956    -0.308995    -0.003708     0.309017
     0.012100     2.199115    -0.587743    -0.007054     0.587785
     0.012100     2.513274    -0.808959    -0.009708     0.809017
     0.012100     2.827433    -0.950994    -0.011414     0.951063
     0.012100     3.141593    -0.999927    -0.012100     1.000000

     0.013200    -3.141593    -0.999913    -0.013200     1.000000
     0.013200    -2.827433    -0.950982    -0.012451     0.951064
     0.013200    -2.513274    -0.808948    -0.010591     0.809017
     0.013200    -2.199115    -0.587735    -0.007695     0.587785
     0.013200    -1.884956    -0.308991    -0.004045     0.309017
     0.013200    -1.570796    -0.000000    -0.000000     0.000000
     0.013200    -1.256637     0.308991     0.004045     0.309017
     0.013200    -0.942478     0.587735     0.007695     0.587785
     0.013200    -0.628319     0.808948     0.010591     0.809017
     0.013200    -0.314159     0.950975     0.012451     0.951057
     0.013200     0.000000     0.999914     0.013091     1.000000
     0.013200     0.314159     0.950975     0.012451     0.951057
     0.013200     0.628319     0.808948     0.010591     0.809017
     0.013200     0.942478     0.587735     0.007695     0.587785
     0.013200     1.256637     0.308991     0.004045     0.309017
     0.013200     1.570796    -0.000000    -0.000000     0.000000
     0.013200     1.884956    -0.308991    -0.004045     0.309017
     0.013200     2.199115    -0.587735    -0.007695     0.587785
     0.013200     2.513274    -0.808948    -0.010591     0.809017
     0.013200     2.827433    -0.950982    -0.012451     0.951064
     0.013200     3.141593    -0.999913    -0.013200     1.000000

     0.014300    -3.141593    -0.999898    -0.014300     1.000000
     0.014300    -2.827433    -0.950969    -0.013489     0.951065
     0.014300    -2.513274    -0.808936    -0.011473     0.809017
     0.014300    -2.199115    -0.587726    -0.008336     0.587785
     0.014300    -1.884956    -0.308986    -0.004383     0.309017
     0.014300    -1.570796    -0.000000    -0.000000     0.000000
     0.014300    -1.256637     0.308986     0.004383     0.309017
     0.014300    -0.942478     0.587726     0.008336     0.587785
     0.014300    -0.628319     0.808936     0.011474     0.809017
     0.014300    -0.314159     0.950961     0.013488     0.951057
     0.014300     0.000000     0.999899     0.014182     1.000000
     0.014300     0.314159     0.950961     0.013488     0.951057
     0.014300     0.628319     0.808936     0.011474     0.809017
     0.014300     0.942478     0.587726     0.008336     0.587785
     0.014300     1.256637     0.308986     0.004383     0.309017
     0.014300     1.570796    -0.000000    -0.000000     0.000000
     0.014300     1.884956    -0.308986    -0.004383     0.309017
     0.014300     2.199115    -0.587726    -0.008336     0.587785
     0.014300     2.513274    -0.808936    -0.011473     0.809017
     0.014300     2.827433    -0.950969    -0.013489     0.951065
     0.014300     3.141593    -0.999898    -0.014300     1.000000

     0.015400    -3.141593    -0.999881    -0.015399     1.000000
     0.015400    -2.827433    -0.950955    -0.014527     0.951066
     0.015400    -2.513274    -0.808923    -0.012356     0.809017
     0.015400    -2.199115    -0.587717    -0.008977     0.587785
     0.015400    -1.884956    -0.308981    -0.004720     0.309017
     0.015400    -1.570796    -0.000000    -0.000000     0.000000
     0.015400    -1.256637     0.308981     0.004720     0.309017
     0.015400    -0.942478     0.587717     0.008977     0.587785
     0.015400    -0.628319     0.808923     0.012356     0.809017
     0.015400    -0.314159     0.950946     0.014526     0.951057
     0.015400     0.000000     0.999883     0.015273     1.000000
     0.015400     0.314159     0.950946     0.014526     0.951057
     0.015400     0.628319     0.808923     0.012356     0.809017
     0.015400     0.942478     0.587717     0.008977     0.587785
     0.015400     1.256637     0.308981     0.004720     0.309017
     0.015400     1.570796    -0.000000    -0.000000     0.000000
     0.015400     1.884956    -0.308981    -0.004720     0.309017
     0.015400     2.199115    -0.587717    -0.008977     0.587785
     0.015400     2.513274    -0.808923    -0.012356     0.809017
     0.015400     2.827433    -0.950955    -0.014527     0.951066
     0.015400     3.141593    -0.999881    -0.015399     1.000000

     0.016500    -3.141593    -0.999864    -0.016499     1.000000
     0.016500    -2.827433    -0.950940    -0.015564     0.951068
     0.016500    -2.513274    -0.808909    -0.013238     0.809017
     0.016500    -2.199115    -0.587707    -0.009619     0.587785
     0.016500    -1.884956    -0.308976    -0.005057     0.309017
     0.016500    -1.570796    -0.000000    -0.000000     0.000000
     0.016500    -1.256637     0.308976     0.005057     0.309017
     0.016500    -0.942478     0.587707     0.009619     0.587785
     0.016500    -0.628319     0.808909     0.013239     0.809017
     0.016500    -0.314159     0.950929     0.015563     0.951057
     0.016500     0.000000     0.999866     0.016364     1.000000
     0.016500     0.314159     0.950929     0.015563     0.951057
     0.016500     0.628319     0.808909     0.013239     0.809017
     0.016500     0.942478     0.587707     0.009619     0.587785
     0.016500     1.256637     0.308976     0.005057     0.309017
     0.016500     1.570796    -0.000000    -0.000000     0.000000
     0.016500     1.884956    -0.308976    -0.005057     0.309017
     0.016500     2.199115    -0.587707    -0.009619     0.587785
     0.016500     2.513274    -0.808909    -0.013238     0.809017
     0.016500     2.827433    -0.950940    -0.015564     0.951068
     0.016500     3.141593    -0.999864    -0.016499     1.000000

     0.017600    -3.141593    -0.999845    -0.017599     1.000000
     0.017600    -2.827433    -0.950924    -0.016602     0.951069
     0.017600    -2.513274    -0.808894    -0.014121     0.809017
     0.017600    -2.199115    -0.587696    -0.010260     0.587785
     0.017600    -1.884956    -0.308970    -0.005394     0.309017
