Ángulo,Tensión ,Frecuencia
-900,52.3595,131.7001153
-720,52.1222,133.1112746
-630,51.1944,133.1549594
-540,54.0221,132.9199651
-450,51.325,135.450487
-360,53.9618,137.8592118
-270,55.6909,139.7987105
-180,56.7,142.7319
-90,59.04,144.4336
0,65.65,146.4409
90,70.03,149.3208
180,70.83,151.6194
