Ángulo,Tensión ,Frecuencia
-900,37.6844,213.95916
-720,38.2208,213.67584
-630,39.2769,212.10314
-540,42.3173,219.52484
-450,43.8455,225.36763
-360,45.3175,229.54467
-270,45.3175,229.54467
-180,45.73,238.50932
-90,47.23,244.31039
0,49.55,248.70466
90,55.26,253.2
180,56.63,258.76732
