Ángulo,Frecuencia,Tensión 
-900,42.797,69.93314567
-720,45.326,71.4121
-630,43.041,71.24601676
-540,46.0605,71.09322602
-450,48.1632,72.68448203
-360,50.0801,73.97761078
-270,52.5989,75.36101083
-180,54.89,80.7486
-90,58.06,81.8598
0,62.2,82.5275
90,66.83,83.7752
180,72.23,85.4882
