Ángulo,Tensión ,Frecuencia
-900,48.609,281.2335684
-720,48.5114,285.7502201
-630,48.7562,285.7229189
-540,51.7205,285.1566312
-450,54.2526,291.0168001
-360,55.55,297.8574723
-270,56.5911,305.7291208
-180,58.64,318.019467
-90,61.32,323.942989
0,71.75,330.331191
90,74.54,335.195531
180,78.39,341.672623
