Ángulo,Frecuencia,Tensión 
Ángulo,Tensión ,Frecuencia
-900,47.2681,94.60967
-720,48.9339,96.5231
-630,49.0531,96.66609
-540,48.9141,96.37643
-450,49.6581,98.21291
-360,52.5303,100.2958
-270,55.4735,103.21996
-180,58.12,106.50695
-90,59.33,108.47458
0,67,109.60068
90,70.68,111.5128
180,72.1,112.8364
