Ángulo,Frecuencia,Tensión 
-900,34.5736,159.3925811
-720,35.3576,163.7795276
-630,35.4926,163.4117057
-540,36.2595,163.2906802
-450,38.9226,166.9934341
-360,42.2212,169.5515342
-270,43.064,174.8915232
-180,46.72,188.36488
-90,49.29,191.376769
0,51.28,196.41527
90,56.3,201.741509
180,59.8,207.72
