,Densidad,Frecuencia
Cuerda 1,0.000399,330.331191
Cuerda 2,0.000477,248.704663
Cuerda 3,0.00103,196.41527
Cuerda 4,0.00162,146.440913
Cuerda 5,0.0035,109.60068
Cuerda 6,0.00578,81.9155
